Train Loss	Train Loss X	Train Loss X_nll	Train Loss X_ce	Train Loss U	Valid Loss	Valid Acc.	Test Loss	Test Acc.	
3.615021	3.613487	1.605513	2.007974	0.006446	2.154965	17.700000	2.147003	18.760000	
3.252293	3.245803	1.570364	1.675439	0.010463	1.872083	33.280000	1.862638	34.180000	
3.091187	3.079822	1.563187	1.516634	0.011084	1.697205	43.740000	1.690550	43.680000	
3.042696	3.026538	1.557649	1.468889	0.011272	1.627877	46.640000	1.621025	47.260000	
3.042907	3.021771	1.557670	1.464101	0.011451	1.579073	48.380000	1.572900	48.730000	
3.002830	2.976077	1.553209	1.422868	0.011868	1.554510	49.320000	1.551050	49.440000	
3.005166	2.972246	1.553418	1.418827	0.012343	1.528940	50.580000	1.526406	50.560000	
2.990325	2.950670	1.552919	1.397751	0.012888	1.501853	51.820000	1.500131	51.610000	
2.993644	2.948888	1.552443	1.396445	0.012842	1.484206	52.540000	1.478400	52.510000	
2.995211	2.943729	1.552048	1.391681	0.013219	1.468005	53.100000	1.461928	53.140000	
2.996626	2.938883	1.550142	1.388742	0.013417	1.450347	53.580000	1.444716	53.660000	
2.983972	2.920361	1.551004	1.369356	0.013502	1.429647	54.700000	1.419443	55.050000	
2.975704	2.905524	1.549269	1.356255	0.013689	1.409909	55.260000	1.396493	56.230000	
2.983285	2.910540	1.548663	1.361877	0.013142	1.399155	56.020000	1.388521	56.350000	
3.000028	2.919915	1.550151	1.369764	0.013473	1.374786	56.780000	1.366893	57.800000	
2.995594	2.910843	1.550016	1.360827	0.013341	1.358902	57.040000	1.346326	58.240000	
3.004662	2.913459	1.549516	1.363943	0.013484	1.339414	57.440000	1.329322	59.010000	
3.008548	2.913190	1.550118	1.363072	0.013296	1.316879	58.760000	1.312380	59.450000	
3.019951	2.916787	1.548201	1.368586	0.013598	1.322550	59.100000	1.319915	59.360000	
3.010061	2.903542	1.547756	1.355785	0.013323	1.312272	59.440000	1.308724	59.820000	
3.015994	2.905031	1.547518	1.357513	0.013205	1.305333	59.740000	1.299386	60.110000	
3.021930	2.907022	1.549093	1.357929	0.013033	1.281705	60.940000	1.286326	61.140000	
3.027992	2.906922	1.548330	1.358592	0.013122	1.272270	61.140000	1.270391	61.580000	
3.029115	2.904212	1.548053	1.356159	0.012963	1.262105	61.420000	1.259092	61.950000	
