Train Loss	Train Loss X	Train Loss X_nll	Train Loss X_ce	Train Loss U	Valid Loss	Valid Acc.	Test Loss	Test Acc.	
3.545136	3.542165	1.591669	1.950496	0.006888	2.163608	22.140000	2.158628	22.660000	
3.175029	3.162871	1.532591	1.630280	0.010887	1.891886	33.540000	1.887594	33.460000	
3.054981	3.033529	1.520294	1.513235	0.011577	1.673491	43.920000	1.670300	44.170000	
3.019055	2.988219	1.514291	1.473929	0.011889	1.582787	47.780000	1.580905	48.190000	
2.993034	2.952219	1.510779	1.441440	0.012256	1.535496	49.560000	1.534678	49.850000	
2.976104	2.925353	1.509408	1.415945	0.012472	1.491548	51.600000	1.492356	51.940000	
2.977664	2.915229	1.507810	1.407419	0.012966	1.458846	52.840000	1.462492	52.920000	
2.971130	2.897650	1.503707	1.393944	0.013244	1.434087	54.080000	1.442402	53.470000	
2.985395	2.899539	1.504931	1.394608	0.013649	1.394887	55.580000	1.408338	54.830000	
2.975060	2.881005	1.502816	1.378188	0.013382	1.364618	57.200000	1.382694	56.150000	
2.979611	2.874173	1.503124	1.371050	0.013572	1.333256	58.520000	1.356615	57.320000	
2.984965	2.871289	1.501582	1.369706	0.013354	1.311309	59.240000	1.329840	58.450000	
3.000984	2.876978	1.501840	1.375138	0.013405	1.288920	60.320000	1.308580	59.820000	
2.999146	2.866000	1.500863	1.365138	0.013328	1.268468	61.100000	1.280565	60.780000	
3.001075	2.859619	1.500796	1.358823	0.013189	1.246331	62.340000	1.258956	61.910000	
3.010503	2.858660	1.498213	1.360447	0.013235	1.222086	63.180000	1.231260	62.570000	
3.022161	2.863768	1.500116	1.363653	0.012973	1.205861	64.000000	1.214203	63.410000	
3.029077	2.862531	1.500400	1.362131	0.012858	1.186620	64.900000	1.193928	64.360000	
3.038920	2.865037	1.500591	1.364446	0.012704	1.171365	64.880000	1.179528	64.820000	
3.040151	2.857912	1.499095	1.358817	0.012630	1.150285	66.100000	1.161093	65.520000	
3.041644	2.855720	1.499139	1.356581	0.012259	1.120413	66.780000	1.129457	66.190000	
3.056594	2.858072	1.500412	1.357661	0.012477	1.109157	67.140000	1.118736	66.870000	
3.057049	2.852455	1.499719	1.352736	0.012290	1.104908	67.580000	1.116090	67.170000	
3.071626	2.856130	1.497344	1.358786	0.012393	1.083101	67.940000	1.098098	67.580000	
3.065599	2.849503	1.497867	1.351636	0.011920	1.057123	69.100000	1.076462	68.620000	
3.084132	2.857200	1.499806	1.357395	0.012030	1.055418	69.340000	1.069274	69.040000	
3.088587	2.853939	1.498900	1.355039	0.011971	1.038516	70.300000	1.060105	69.580000	
3.087839	2.848382	1.498011	1.350371	0.011767	1.028168	70.520000	1.043763	70.000000	
3.107414	2.854529	1.497750	1.356778	0.011991	1.028321	70.620000	1.045948	70.310000	
3.105982	2.846831	1.497891	1.348941	0.011875	1.009483	71.360000	1.028506	70.770000	
3.095638	2.838728	1.496341	1.342387	0.011382	1.002820	71.780000	1.025200	70.850000	
3.120557	2.846472	1.497416	1.349056	0.011760	0.994339	72.240000	1.012061	71.220000	
3.130011	2.851631	1.497957	1.353674	0.011576	0.981002	72.960000	1.003467	71.630000	
