Train Loss	Train Loss X	Train Loss X_nll	Train Loss X_ce	Train Loss U	Valid Loss	Valid Acc.	Test Loss	Test Acc.	
3.639849	3.637419	1.578561	2.058858	0.005746	2.193352	20.260000	2.189241	20.370000	
3.277911	3.266764	1.540954	1.725810	0.009902	1.975938	29.160000	1.969905	29.350000	
3.104674	3.083907	1.525508	1.558398	0.011211	1.790171	39.680000	1.785417	39.820000	
3.057203	3.028112	1.518212	1.509900	0.011225	1.684657	43.900000	1.679004	45.280000	
3.028093	2.989953	1.514494	1.475458	0.011456	1.622834	46.420000	1.619752	47.280000	
3.006427	2.959512	1.512057	1.447456	0.011531	1.575914	48.600000	1.572809	48.980000	
3.006593	2.949888	1.510944	1.438944	0.011775	1.525349	50.340000	1.524855	50.690000	
2.998314	2.930999	1.507271	1.423728	0.012128	1.492521	51.280000	1.492767	52.200000	
3.013718	2.934969	1.508351	1.426618	0.012516	1.458132	52.080000	1.455272	53.100000	
2.999210	2.911527	1.505889	1.405638	0.012477	1.423522	53.720000	1.424617	53.920000	
3.007979	2.908630	1.506242	1.402388	0.012786	1.395651	55.020000	1.392837	55.540000	
3.014563	2.905514	1.505771	1.399743	0.012809	1.365932	56.120000	1.361213	56.620000	
3.031420	2.911888	1.506076	1.405812	0.012922	1.348702	56.960000	1.346295	57.500000	
3.029130	2.899594	1.503987	1.395607	0.012967	1.324108	58.260000	1.320001	58.770000	
3.032717	2.895027	1.504165	1.390862	0.012835	1.312079	58.760000	1.311728	59.100000	
3.043466	2.895709	1.502413	1.393296	0.012880	1.289906	59.520000	1.294720	59.790000	
3.056973	2.902495	1.505205	1.397290	0.012652	1.292407	59.780000	1.296369	59.650000	
3.066903	2.902565	1.504042	1.398522	0.012688	1.262757	60.780000	1.263871	60.980000	
3.073601	2.901058	1.503986	1.397072	0.012605	1.250783	61.620000	1.255281	61.470000	
3.078376	2.895931	1.503214	1.392717	0.012644	1.237709	62.060000	1.237022	62.470000	
3.081563	2.893595	1.502979	1.390616	0.012393	1.223349	62.640000	1.221067	62.680000	
3.093920	2.893339	1.503183	1.390157	0.012606	1.210504	63.100000	1.210975	63.230000	
3.098318	2.890808	1.503674	1.387134	0.012464	1.215602	62.840000	1.212371	62.890000	
3.114909	2.896870	1.502318	1.394552	0.012539	1.196513	63.840000	1.194983	63.680000	
3.109751	2.887204	1.502228	1.384976	0.012276	1.183418	64.460000	1.188979	63.830000	
3.131204	2.899450	1.504438	1.395012	0.012284	1.177672	64.480000	1.179966	64.430000	
3.133112	2.895333	1.503465	1.391868	0.012128	1.154231	65.360000	1.155909	65.240000	
3.135685	2.892449	1.503303	1.389146	0.011952	1.153648	65.140000	1.161372	65.190000	
3.154960	2.896381	1.503120	1.393261	0.012262	1.137347	65.980000	1.148850	65.550000	
3.153628	2.890141	1.503104	1.387037	0.012073	1.124268	66.680000	1.135912	66.120000	
3.146478	2.881506	1.501405	1.380101	0.011740	1.111944	67.100000	1.122029	66.860000	
3.173440	2.893776	1.503433	1.390343	0.011999	1.103157	67.220000	1.115398	66.890000	
3.182474	2.898184	1.502688	1.395496	0.011822	1.091733	68.060000	1.104252	67.310000	
3.200335	2.902547	1.504241	1.398306	0.012012	1.090261	67.960000	1.098851	67.650000	
3.190659	2.889153	1.501996	1.387157	0.011809	1.076834	68.620000	1.092197	67.900000	
3.195392	2.882366	1.503514	1.378852	0.011914	1.070361	69.020000	1.085703	68.000000	
3.202931	2.887116	1.502277	1.384839	0.011693	1.056276	69.360000	1.074062	68.350000	
3.225537	2.898442	1.503752	1.394689	0.011787	1.048669	69.720000	1.064353	68.540000	
3.221094	2.888132	1.502230	1.385902	0.011687	1.045344	69.820000	1.055911	69.040000	
3.238158	2.897601	1.503150	1.394451	0.011650	1.034236	69.840000	1.045865	69.460000	
3.250676	2.902685	1.503108	1.399577	0.011612	1.021074	70.400000	1.039748	69.500000	
3.246341	2.894074	1.502760	1.391314	0.011472	1.013708	70.680000	1.029298	70.090000	
3.256515	2.891399	1.501980	1.389420	0.011610	1.006263	70.680000	1.017009	70.400000	
3.280129	2.907393	1.503478	1.403914	0.011579	1.002101	70.940000	1.016413	70.460000	
3.275265	2.890644	1.501634	1.389010	0.011679	0.999029	70.840000	1.012919	70.450000	
3.267667	2.884217	1.500081	1.384136	0.011389	1.011892	70.580000	1.023082	70.310000	
3.294774	2.898704	1.503619	1.395085	0.011510	0.999747	71.120000	1.014034	70.720000	
3.290719	2.891303	1.501813	1.389491	0.011361	0.988734	71.200000	0.998170	71.160000	
3.314289	2.899499	1.502787	1.396712	0.011558	0.989787	71.340000	1.000149	71.220000	
3.301105	2.887548	1.501380	1.386168	0.011291	0.990282	71.700000	1.000414	71.500000	
3.337018	2.912076	1.505471	1.406605	0.011372	0.985401	71.460000	0.998569	71.600000	
3.333945	2.889987	1.502017	1.387971	0.011650	0.971939	72.260000	0.984861	71.710000	
3.326823	2.897255	1.502563	1.394692	0.011056	0.960029	72.420000	0.973634	72.190000	
3.364749	2.909131	1.503521	1.405610	0.011509	0.968762	72.200000	0.980984	71.910000	
3.367479	2.894324	1.503296	1.391028	0.011731	0.957096	72.740000	0.970545	72.510000	
3.365029	2.893243	1.500933	1.392310	0.011487	0.954943	73.020000	0.968396	72.470000	
3.388976	2.903453	1.503337	1.400116	0.011613	0.952549	73.080000	0.967785	72.530000	
3.397601	2.903456	1.503587	1.399869	0.011613	0.947718	73.100000	0.962902	72.450000	
3.389235	2.906295	1.502554	1.403740	0.011155	0.954260	73.220000	0.967273	72.470000	
3.411471	2.907740	1.503454	1.404285	0.011442	0.950948	72.960000	0.961058	72.480000	
3.413596	2.902886	1.502553	1.400333	0.011408	0.949962	72.880000	0.962344	72.680000	
3.432166	2.912021	1.503017	1.409004	0.011428	0.929487	73.840000	0.941090	73.470000	
3.420890	2.905739	1.504050	1.401689	0.011138	0.930154	73.720000	0.938192	73.610000	
3.449600	2.905289	1.504465	1.400824	0.011584	0.930850	73.600000	0.940706	73.470000	
3.449690	2.906814	1.503850	1.402964	0.011374	0.937519	73.600000	0.947357	72.930000	
3.443580	2.898487	1.502763	1.395724	0.011247	0.947266	73.480000	0.959690	72.870000	
3.476893	2.918850	1.504835	1.414015	0.011341	0.937681	73.700000	0.947720	73.160000	
3.486588	2.915795	1.503847	1.411948	0.011427	0.928885	73.680000	0.943397	73.540000	
3.494215	2.916894	1.505172	1.411722	0.011390	0.931849	73.880000	0.947901	73.410000	
3.468559	2.907576	1.503519	1.404058	0.010908	0.937336	73.360000	0.948663	73.020000	
3.490698	2.897508	1.502898	1.394610	0.011370	0.922109	73.860000	0.934353	73.660000	
3.476251	2.895057	1.501651	1.393406	0.010984	0.922207	73.980000	0.933922	73.890000	
3.517229	2.909639	1.501529	1.408109	0.011324	0.929610	73.500000	0.934145	73.520000	
3.526030	2.912029	1.502879	1.409150	0.011290	0.923099	73.760000	0.932053	73.610000	
3.517048	2.907662	1.502492	1.405170	0.011053	0.927825	73.840000	0.941306	73.360000	
3.559092	2.914286	1.504809	1.409478	0.011541	0.917441	74.180000	0.931139	73.650000	
3.533468	2.896318	1.501100	1.395218	0.011255	0.926767	73.820000	0.940917	73.490000	
3.557465	2.918625	1.503736	1.414888	0.011140	0.921596	74.260000	0.936046	73.700000	
3.580449	2.920097	1.504987	1.415110	0.011368	0.930562	73.940000	0.941360	73.430000	
3.577796	2.914535	1.503340	1.411195	0.011275	0.927270	73.380000	0.940242	73.390000	
3.571288	2.907174	1.501998	1.405175	0.011149	0.935431	73.400000	0.948377	73.390000	
3.597967	2.905891	1.503387	1.402504	0.011476	0.917271	73.780000	0.925588	73.890000	
3.609853	2.912804	1.503448	1.409356	0.011418	0.903968	74.340000	0.920245	73.980000	
3.622716	2.916397	1.504822	1.411575	0.011432	0.903009	74.520000	0.916933	74.040000	
3.625977	2.920403	1.505076	1.415327	0.011284	0.900252	74.720000	0.917267	74.000000	
3.611682	2.916081	1.503827	1.412254	0.010994	0.907885	74.700000	0.920744	73.990000	
3.638335	2.912224	1.503109	1.409115	0.011343	0.909055	74.280000	0.920780	74.130000	
3.644819	2.913643	1.502918	1.410725	0.011292	0.910744	74.200000	0.923540	73.830000	
3.644762	2.913749	1.503470	1.410279	0.011163	0.907194	74.340000	0.922291	73.910000	
3.666282	2.911386	1.502937	1.408449	0.011398	0.913582	74.000000	0.922982	74.020000	
3.663671	2.912774	1.503192	1.409582	0.011212	0.925964	73.760000	0.936033	73.910000	
3.655296	2.913233	1.502687	1.410546	0.010960	0.928167	74.060000	0.936714	73.600000	
3.687323	2.920454	1.504224	1.416231	0.011203	0.920225	73.940000	0.932064	74.010000	
3.716906	2.930881	1.506187	1.424694	0.011361	0.919587	73.760000	0.927624	73.980000	
3.690633	2.917634	1.504498	1.413137	0.011053	0.911950	74.200000	0.922392	73.810000	
3.712345	2.909533	1.502802	1.406731	0.011360	0.899307	74.600000	0.911083	74.240000	
3.733580	2.923427	1.504581	1.418846	0.011347	0.897315	74.860000	0.915392	74.350000	
3.715422	2.918230	1.503516	1.414714	0.011050	0.903046	74.540000	0.919091	74.240000	
3.725574	2.918470	1.503376	1.415094	0.011073	0.902057	74.520000	0.915122	74.300000	
3.722674	2.914844	1.502962	1.411883	0.010972	0.899279	75.060000	0.921232	74.440000	
