Train Loss	Train Loss X	Train Loss X_nll	Train Loss X_ce	Train Loss U	Valid Loss	Valid Acc.	Test Loss	Test Acc.	
3.002682	2.999505	0.887912	2.111593	0.005609	2.243917	15.440000	2.238291	16.420000	
2.710818	2.697282	0.866889	1.830393	0.008901	1.997469	28.040000	1.987054	30.080000	
2.513965	2.487825	0.862255	1.625570	0.010452	1.764264	40.100000	1.753751	40.400000	
2.450717	2.413697	0.858682	1.555015	0.010587	1.655921	44.260000	1.651105	44.920000	
2.427382	2.379813	0.858567	1.521246	0.010566	1.600387	46.920000	1.597032	46.990000	
2.404337	2.346601	0.856781	1.489820	0.010512	1.562348	48.240000	1.561784	48.770000	
2.401893	2.333150	0.856961	1.476189	0.010576	1.536537	49.820000	1.540988	49.900000	
2.403362	2.322802	0.856093	1.466709	0.010739	1.499362	50.920000	1.502250	51.440000	
2.404196	2.309840	0.855935	1.453905	0.011097	1.458787	52.580000	1.467551	52.770000	
2.381658	2.274497	0.854302	1.420195	0.011282	1.428024	53.980000	1.435039	53.950000	
2.392053	2.269964	0.854201	1.415763	0.011630	1.403170	54.980000	1.406494	54.890000	
2.399396	2.266484	0.853507	1.412977	0.011564	1.365358	56.200000	1.367004	56.570000	
2.408134	2.258117	0.851929	1.406188	0.012003	1.337007	58.020000	1.336549	57.640000	
2.422044	2.260563	0.853228	1.407335	0.011959	1.321229	58.720000	1.316820	58.840000	
2.420162	2.246937	0.852114	1.394823	0.011949	1.303245	59.720000	1.298151	59.920000	
2.446617	2.259949	0.852491	1.407458	0.012044	1.285323	60.620000	1.279888	60.450000	
2.435482	2.241409	0.851399	1.390010	0.011763	1.280769	61.100000	1.273897	60.940000	
2.448430	2.243555	0.850814	1.392741	0.011711	1.253011	62.100000	1.248122	61.720000	
2.464028	2.245221	0.849701	1.395521	0.011825	1.233549	62.700000	1.230835	62.540000	
2.462930	2.238714	0.849643	1.389071	0.011498	1.213293	63.320000	1.217623	63.140000	
2.459406	2.227387	0.851020	1.376366	0.011320	1.206094	64.200000	1.213447	63.290000	
2.480096	2.237902	0.850368	1.387534	0.011266	1.195021	64.920000	1.198535	64.110000	
2.489301	2.238680	0.850628	1.388052	0.011139	1.177142	65.280000	1.177300	64.660000	
2.508036	2.240719	0.849732	1.390987	0.011375	1.166396	65.580000	1.172829	65.070000	
2.524178	2.244770	0.849658	1.395112	0.011406	1.149548	66.000000	1.160728	65.650000	
2.521833	2.235887	0.848457	1.387430	0.011215	1.134541	67.060000	1.151951	65.960000	
2.528348	2.237692	0.849753	1.387939	0.010967	1.144453	66.740000	1.158184	66.210000	
2.536761	2.235973	0.848539	1.387434	0.010936	1.131818	66.860000	1.148610	66.360000	
2.532482	2.222551	0.848558	1.373992	0.010873	1.122213	67.440000	1.141711	66.460000	
2.556296	2.237566	0.848978	1.388588	0.010807	1.106672	67.620000	1.122200	67.140000	
2.575590	2.240354	0.848652	1.391702	0.010992	1.093955	68.120000	1.110093	67.760000	
2.569981	2.231218	0.849131	1.382088	0.010755	1.075006	68.500000	1.093619	68.050000	
2.594064	2.237230	0.849585	1.387646	0.010980	1.066022	68.920000	1.085009	68.420000	
2.610789	2.242432	0.849069	1.393363	0.010997	1.054775	69.520000	1.071162	68.870000	
2.617383	2.238418	0.849156	1.389262	0.010986	1.047377	69.540000	1.059649	69.360000	
2.610837	2.230030	0.848519	1.381511	0.010726	1.049155	69.580000	1.066753	69.310000	
2.603978	2.220418	0.848764	1.371654	0.010510	1.025237	70.520000	1.046569	69.650000	
2.639743	2.233812	0.848821	1.384990	0.010826	1.016922	70.620000	1.033809	70.140000	
2.628347	2.221481	0.848285	1.373197	0.010569	1.004621	71.440000	1.018937	70.570000	
2.657096	2.237632	0.849925	1.387708	0.010621	0.995590	71.600000	1.013652	71.050000	
2.643497	2.216207	0.846301	1.369906	0.010551	1.001484	71.600000	1.017701	70.770000	
2.682752	2.244784	0.849768	1.395016	0.010554	0.989104	71.900000	1.010728	70.810000	
2.662320	2.218158	0.846977	1.371180	0.010452	0.982123	72.060000	1.005641	71.100000	
2.683921	2.222647	0.849580	1.373067	0.010603	0.968764	72.600000	0.991926	71.410000	
2.675147	2.216473	0.847774	1.368699	0.010307	0.957318	72.780000	0.978445	71.870000	
2.700231	2.229381	0.847552	1.381829	0.010349	0.957737	73.040000	0.977019	72.100000	
2.735335	2.231525	0.846732	1.384794	0.010835	0.951869	73.240000	0.971709	72.230000	
2.718833	2.225878	0.848503	1.377375	0.010377	0.940553	73.320000	0.963756	72.530000	
2.732609	2.230616	0.848013	1.382604	0.010350	0.934355	73.340000	0.959266	72.500000	
2.747531	2.237435	0.848241	1.389195	0.010308	0.931833	73.320000	0.957206	72.830000	
2.754983	2.229030	0.847171	1.381859	0.010416	0.931087	73.440000	0.955010	72.780000	
