Train Loss	Train Loss X	Train Loss U	Valid Loss	Valid Acc.	Test Loss	Test Acc.	
3.647986	3.647882	0.002922	6214.133673	10.000000	6215.580852	10.000000	
3.300734	3.300386	0.003105	4.768119	11.020000	4.922007	11.420000	
3.169620	3.168972	0.003442	3.363021	14.060000	3.363492	14.450000	
3.048700	3.047594	0.004197	2.142552	20.540000	2.138114	21.790000	
2.980071	2.978319	0.005171	2.012751	26.040000	2.003509	27.740000	
2.926358	2.923882	0.005992	1.951977	26.120000	1.943136	27.130000	
2.846064	2.842846	0.006601	1.930103	27.380000	1.917709	28.220000	
2.797357	2.793038	0.007667	1.992330	26.520000	1.984047	26.820000	
2.761223	2.756050	0.008100	1.933436	32.220000	1.920036	31.960000	
2.753392	2.747310	0.008533	2.006593	25.760000	2.004974	26.540000	
2.691087	2.684304	0.008599	2.157575	27.080000	2.150074	27.530000	
2.589918	2.581788	0.009411	1.983919	31.140000	1.984618	31.070000	
2.582690	2.573189	0.010120	2.316518	28.400000	2.303312	28.660000	
2.571510	2.560443	0.010932	2.044784	31.520000	2.029282	32.980000	
2.548142	2.537477	0.009812	1.870514	36.200000	1.851874	37.240000	
2.539749	2.527839	0.010239	1.851566	36.440000	1.839061	37.530000	
2.493497	2.479706	0.011133	2.072629	31.000000	2.066837	31.090000	
2.483984	2.469263	0.011197	1.855150	36.540000	1.855990	37.160000	
2.395111	2.379473	0.011262	1.970249	35.000000	1.957465	34.990000	
2.481355	2.465136	0.011081	2.122216	30.280000	2.113199	29.880000	
2.445429	2.428117	0.011245	2.066835	31.600000	2.053704	32.050000	
2.434552	2.417331	0.010668	1.813644	39.380000	1.803514	39.300000	
2.440016	2.420972	0.011277	1.811354	39.960000	1.803625	39.620000	
2.433192	2.412568	0.011689	1.865907	35.960000	1.859100	36.610000	
2.381114	2.361269	0.010778	1.949879	36.260000	1.933335	37.020000	
