Train Loss	Train Loss X	Train Loss U	Valid Loss	Valid Acc.	Test Loss	Test Acc.	
3.437149	3.426266	0.004261	2.298322	10.020000	2.297842	10.100000	
3.262736	3.210968	0.007207	2.158952	18.360000	2.156237	18.910000	
3.155605	3.044652	0.009380	1.885347	31.840000	1.880897	32.600000	
3.072422	2.895746	0.010737	1.723937	40.200000	1.709485	39.980000	
3.054024	2.822133	0.010957	1.629805	44.560000	1.613101	44.610000	
3.108536	2.821586	0.011106	1.589795	47.280000	1.578708	46.410000	
3.141000	2.799170	0.011183	1.563588	48.380000	1.558075	47.840000	
3.162578	2.762173	0.011361	1.536514	49.800000	1.535499	49.280000	
3.218150	2.756123	0.011560	1.492520	51.480000	1.497499	51.400000	
3.262524	2.730694	0.011912	1.446254	54.300000	1.450221	53.460000	
3.291214	2.718136	0.011609	1.414389	55.420000	1.417459	55.120000	
3.328781	2.712297	0.011405	1.377813	57.280000	1.381873	56.800000	
3.402656	2.723286	0.011563	1.360122	58.440000	1.361193	58.050000	
3.463929	2.720526	0.011715	1.346834	59.160000	1.346381	59.090000	
3.514035	2.720950	0.011642	1.303127	60.560000	1.302885	60.370000	
3.544818	2.713332	0.011417	1.305583	60.760000	1.309914	60.580000	
3.620017	2.717507	0.011639	1.285524	61.800000	1.287824	61.250000	
3.694248	2.726245	0.011772	1.264352	62.340000	1.267462	62.020000	
3.702415	2.714621	0.011361	1.265242	62.220000	1.258836	62.650000	
3.784166	2.718541	0.011623	1.263152	62.740000	1.257793	62.760000	
