Train Loss	Train Loss X	Train Loss X_nll	Train Loss X_ce	Train Loss U	Valid Loss	Valid Acc.	Test Loss	Test Acc.	
3.381777	3.380218	1.229308	2.150910	0.004352	2.343626	10.140000	2.343570	10.420000	
3.142126	3.134634	1.213669	1.920965	0.007523	2.084855	24.060000	2.079762	25.680000	
2.971836	2.955818	1.207251	1.748567	0.009810	1.900614	31.060000	1.895772	31.500000	
2.859906	2.836087	1.203570	1.632518	0.010469	1.745461	40.680000	1.736729	41.000000	
2.774519	2.742541	1.200485	1.542056	0.010929	1.684400	43.360000	1.674998	43.300000	
2.741285	2.701054	1.198953	1.502101	0.011251	1.664548	44.580000	1.656584	44.780000	
2.740498	2.693366	1.198442	1.494924	0.011154	1.637312	45.460000	1.629571	45.690000	
2.710542	2.653641	1.196400	1.457241	0.011665	1.606198	47.140000	1.596458	46.920000	
2.709000	2.643417	1.195895	1.447522	0.011868	1.583929	47.860000	1.572856	48.150000	
2.711552	2.636286	1.194594	1.441692	0.012194	1.552107	49.060000	1.541542	50.030000	
2.695058	2.609799	1.193278	1.416521	0.012495	1.542015	50.040000	1.530953	50.890000	
2.707889	2.611821	1.193131	1.418689	0.012857	1.529681	50.920000	1.505702	52.350000	
2.703681	2.599110	1.193158	1.405952	0.012870	1.485862	52.780000	1.470588	53.560000	
2.717420	2.606421	1.192821	1.413601	0.012651	1.463353	53.540000	1.450886	54.170000	
2.719402	2.599600	1.192503	1.407097	0.012712	1.427169	55.280000	1.409245	55.950000	
2.736641	2.608123	1.191571	1.416553	0.012759	1.414638	55.600000	1.390893	56.490000	
2.714419	2.578891	1.190498	1.388393	0.012633	1.396461	56.860000	1.376345	57.790000	
2.722622	2.581443	1.190210	1.391233	0.012413	1.371098	57.760000	1.354623	58.570000	
2.734859	2.585915	1.189975	1.395940	0.012386	1.374299	58.040000	1.356728	58.730000	
2.730654	2.576672	1.190231	1.386442	0.012143	1.347330	58.700000	1.338538	59.000000	
