Train Loss	Train Loss X	Train Loss U	Valid Loss	Valid Acc.	Test Loss	Test Acc.	
3.883356	3.881823	0.004148	2.705029	8.760000	2.728248	9.340000	
3.795734	3.790164	0.004989	2.352598	16.360000	2.358679	16.280000	
3.739301	3.728686	0.005611	2.276968	14.240000	2.279176	14.780000	
3.645539	3.628834	0.006376	2.246979	14.360000	2.247263	15.220000	
3.623310	3.600128	0.006861	2.226653	16.060000	2.224358	16.790000	
3.525651	3.495313	0.007353	2.218788	16.900000	2.214890	18.580000	
3.411962	3.370557	0.008457	2.214383	17.320000	2.209177	19.010000	
3.306458	3.256309	0.008893	2.211376	17.520000	2.205199	18.430000	
3.337944	3.270776	0.010528	2.205941	17.440000	2.199018	18.040000	
3.291129	3.214819	0.010729	2.195653	18.000000	2.187988	18.450000	
3.346957	3.265227	0.010386	2.178088	18.660000	2.169659	19.350000	
3.274366	3.183566	0.010537	2.158555	19.740000	2.149507	20.400000	
3.255342	3.148511	0.011418	2.139138	20.920000	2.129831	21.600000	
3.253046	3.145489	0.010632	2.115089	22.140000	2.106027	22.660000	
3.200042	3.073431	0.011633	2.097536	22.900000	2.088684	23.330000	
3.182028	3.058536	0.010631	2.071501	24.080000	2.062862	24.530000	
3.222840	3.080802	0.011484	2.032105	25.700000	2.023568	26.280000	
3.227201	3.077178	0.011435	1.991053	27.380000	1.982360	28.030000	
3.190012	3.028151	0.011673	1.946750	29.340000	1.938197	29.980000	
3.187289	3.015562	0.011754	1.900879	31.500000	1.892419	32.100000	
3.173629	3.004405	0.011011	1.873790	32.960000	1.865197	33.420000	
3.190630	3.003115	0.011634	1.842086	35.040000	1.834151	34.820000	
3.177257	2.984386	0.011425	1.806980	36.880000	1.798915	36.670000	
3.212690	3.012790	0.011351	1.784598	37.820000	1.777263	37.650000	
3.200826	2.999988	0.010930	1.756776	39.020000	1.749382	39.140000	
3.205563	2.986368	0.011464	1.725931	40.300000	1.717970	40.550000	
3.215086	2.969889	0.012343	1.698154	41.660000	1.689532	41.900000	
3.184207	2.946815	0.011517	1.672841	43.240000	1.664269	43.060000	
3.238462	2.983562	0.011934	1.642180	44.860000	1.634077	44.780000	
3.179041	2.920909	0.011670	1.622984	45.900000	1.614555	45.570000	
3.208554	2.954221	0.011113	1.602725	46.700000	1.593158	46.610000	
3.245223	2.966044	0.011818	1.584331	47.620000	1.574022	47.190000	
3.247573	2.948094	0.012290	1.567564	48.020000	1.555919	47.790000	
3.210844	2.911693	0.011911	1.548976	48.760000	1.536660	48.480000	
3.257281	2.940401	0.012247	1.530323	49.320000	1.517841	49.090000	
3.274023	2.957005	0.011907	1.515530	49.780000	1.502746	49.560000	
3.261620	2.945102	0.011565	1.499112	50.580000	1.486083	50.270000	
3.245305	2.932192	0.011134	1.488078	50.920000	1.473889	50.750000	
3.227385	2.897184	0.011435	1.479882	51.160000	1.464561	51.420000	
3.327731	2.976832	0.011849	1.472040	51.420000	1.456096	51.580000	
3.265856	2.913861	0.011591	1.467223	51.780000	1.450680	51.920000	
3.212273	2.853765	0.011519	1.459980	52.220000	1.443129	52.300000	
3.320417	2.953922	0.011495	1.449640	52.160000	1.433746	52.750000	
3.351198	2.955346	0.012124	1.444891	52.780000	1.429445	52.920000	
3.272898	2.903696	0.011063	1.436750	52.940000	1.422366	53.200000	
3.255398	2.888581	0.010753	1.428363	53.340000	1.416011	53.670000	
3.272889	2.846347	0.012230	1.423523	53.820000	1.411370	53.990000	
3.307019	2.892980	0.011622	1.417394	54.060000	1.406308	54.330000	
3.305860	2.887299	0.011513	1.411615	54.380000	1.400744	54.590000	
3.318664	2.876555	0.011909	1.405198	54.720000	1.394132	54.760000	
3.346383	2.899014	0.011817	1.401052	54.940000	1.391338	54.990000	
3.384064	2.899725	0.012538	1.400669	55.480000	1.392430	55.190000	
3.297476	2.849299	0.011383	1.398267	55.440000	1.391064	55.310000	
3.404180	2.896013	0.012664	1.396148	55.660000	1.389145	55.610000	
3.391815	2.901979	0.011983	1.392586	55.740000	1.385790	55.640000	
3.462917	2.951012	0.012296	1.386884	56.000000	1.382133	55.820000	
3.438384	2.921566	0.012200	1.384220	56.200000	1.380362	56.000000	
3.430737	2.912915	0.012008	1.377990	56.440000	1.373253	56.220000	
3.423328	2.896443	0.012014	1.367106	56.600000	1.362850	56.360000	
3.431870	2.906242	0.011777	1.365592	56.780000	1.362205	56.760000	
3.400957	2.857448	0.011982	1.363658	56.820000	1.361006	56.980000	
3.329498	2.852068	0.010351	1.362949	57.340000	1.360625	57.230000	
3.445947	2.887295	0.011918	1.361820	57.440000	1.359851	57.230000	
3.400547	2.872345	0.011091	1.354385	57.680000	1.353132	57.600000	
3.355673	2.832837	0.010811	1.350584	57.880000	1.348211	57.880000	
3.403870	2.892904	0.010403	1.346794	58.160000	1.345205	58.110000	
3.545095	2.914718	0.012645	1.342298	58.260000	1.339894	58.280000	
3.474520	2.855811	0.012220	1.335965	58.460000	1.334382	58.490000	
3.466909	2.851459	0.011981	1.331774	58.600000	1.330518	58.780000	
3.435950	2.843014	0.011376	1.329259	58.880000	1.328204	58.920000	
3.446128	2.880563	0.010693	1.325003	59.260000	1.324253	59.500000	
3.512087	2.912350	0.011187	1.324459	59.380000	1.324928	59.320000	
3.468940	2.840169	0.011563	1.320559	59.500000	1.320462	59.570000	
3.453180	2.842166	0.011081	1.314430	59.740000	1.313488	59.910000	
