Train Loss	Train Loss X	Train Loss U	Valid Loss	Valid Acc.	Test Loss	Test Acc.	
3.569309	3.566949	0.007091	2.223268	18.280000	2.218185	19.380000	
3.124979	3.115017	0.011262	1.915042	32.820000	1.912380	32.580000	
3.019943	3.002639	0.011797	1.732723	40.800000	1.728412	40.950000	
2.944097	2.918858	0.012314	1.673847	44.000000	1.663793	44.180000	
2.910863	2.878133	0.012400	1.642079	45.680000	1.634676	45.420000	
2.924847	2.883910	0.012706	1.608155	47.020000	1.601641	46.670000	
2.914228	2.863834	0.013223	1.580014	48.120000	1.580425	48.170000	
2.888669	2.829076	0.013565	1.549539	49.580000	1.548013	49.880000	
2.896262	2.827350	0.013833	1.521801	50.920000	1.514802	51.180000	
2.894842	2.816977	0.013988	1.501321	52.000000	1.498347	52.160000	
2.894738	2.810885	0.013627	1.456871	53.740000	1.457824	53.510000	
2.888993	2.797087	0.013637	1.434139	54.800000	1.437170	54.500000	
2.913274	2.812216	0.013797	1.401229	55.760000	1.406776	55.610000	
2.917879	2.806290	0.014107	1.384653	56.620000	1.391520	56.200000	
2.913047	2.794850	0.013915	1.361273	57.520000	1.368468	57.210000	
2.914585	2.791715	0.013533	1.344815	58.180000	1.352872	58.090000	
2.931429	2.800256	0.013567	1.320017	59.160000	1.327190	59.030000	
2.943722	2.806260	0.013411	1.308507	59.960000	1.306947	59.870000	
2.933981	2.792470	0.013056	1.296348	60.160000	1.296531	60.560000	
2.943119	2.791515	0.013267	1.263656	61.300000	1.264395	61.650000	
2.944235	2.789174	0.012908	1.266153	61.180000	1.267551	61.960000	
2.941846	2.780298	0.012822	1.241437	62.180000	1.247432	62.440000	
2.947920	2.783058	0.012505	1.235800	62.500000	1.240350	63.080000	
2.952992	2.781047	0.012489	1.236328	63.000000	1.236421	63.280000	
2.966537	2.782305	0.012834	1.211162	64.060000	1.213624	63.540000	
2.975719	2.789721	0.012451	1.193004	64.220000	1.195332	64.330000	
2.990985	2.797635	0.012455	1.169816	65.240000	1.178282	64.890000	
2.969758	2.775202	0.012073	1.154106	65.720000	1.166940	65.370000	
2.978041	2.779615	0.011884	1.146695	66.400000	1.158316	65.650000	
2.979265	2.774142	0.011867	1.132149	66.560000	1.146488	66.300000	
2.979711	2.770753	0.011694	1.116009	67.300000	1.131727	66.550000	
2.984516	2.767770	0.011743	1.102681	67.840000	1.114759	67.180000	
2.987868	2.768436	0.011526	1.086999	68.600000	1.101831	67.820000	
