Train Loss	Train Loss X	Train Loss X_nll	Train Loss X_ce	Train Loss U	Valid Loss	Valid Acc.	Test Loss	Test Acc.	
2.504686	2.500755	1.134469	1.366287	0.009182	2.125762	24.460000	2.123475	24.650000	
1.844125	1.833038	0.889835	0.943204	0.009962	1.739362	38.800000	1.743175	39.060000	
1.793355	1.776564	0.878353	0.898210	0.008963	1.450401	51.160000	1.449999	50.980000	
1.783156	1.759892	0.874682	0.885211	0.008869	1.354269	54.460000	1.349754	55.190000	
1.708987	1.679941	0.840677	0.839264	0.008605	1.305674	56.340000	1.301721	57.010000	
1.708668	1.673438	0.839443	0.833995	0.008546	1.265729	58.720000	1.263154	58.480000	
1.701200	1.658865	0.835128	0.823737	0.008683	1.203572	61.120000	1.199879	61.010000	
1.636407	1.588104	0.801602	0.786503	0.008588	1.173158	62.200000	1.173238	62.010000	
1.663538	1.607989	0.813099	0.794890	0.008707	1.150394	63.020000	1.157594	63.040000	
1.695814	1.631219	0.825789	0.805430	0.009063	1.125404	63.980000	1.137240	63.900000	
1.629025	1.556386	0.789198	0.767188	0.009216	1.120674	64.320000	1.133385	64.550000	
1.601209	1.521806	0.772768	0.749038	0.009205	1.097815	65.680000	1.119275	65.310000	
1.638446	1.549083	0.786560	0.762523	0.009529	1.071046	66.440000	1.097367	66.100000	
1.635115	1.537672	0.780751	0.756921	0.009624	1.072666	67.080000	1.094761	66.390000	
1.628694	1.523770	0.773624	0.750146	0.009649	1.036041	68.140000	1.059448	67.790000	
1.626977	1.515729	0.770642	0.745086	0.009572	1.013086	69.120000	1.038184	68.890000	
1.672993	1.552596	0.789319	0.763277	0.009730	0.990125	69.640000	1.015905	69.280000	
1.654893	1.528083	0.777865	0.750217	0.009665	0.980194	70.300000	1.003532	70.030000	
1.631455	1.500769	0.763398	0.737371	0.009419	0.965414	70.780000	0.981618	70.440000	
1.640131	1.499853	0.763145	0.736708	0.009590	0.934031	71.640000	0.954186	71.400000	
1.620866	1.475307	0.750726	0.724581	0.009466	0.918244	72.660000	0.945466	71.610000	
1.645298	1.490674	0.758622	0.732052	0.009587	0.908143	72.680000	0.933731	71.960000	
1.682664	1.520400	0.773403	0.746997	0.009618	0.903624	73.400000	0.928970	72.470000	
1.639697	1.473704	0.750363	0.723341	0.009420	0.899587	73.440000	0.923569	72.420000	
1.674710	1.496831	0.762340	0.734491	0.009681	0.873662	74.140000	0.900190	73.020000	
1.652099	1.472061	0.749304	0.722757	0.009415	0.866130	74.980000	0.893307	73.670000	
1.668717	1.481966	0.754710	0.727256	0.009397	0.856213	74.820000	0.876146	73.750000	
1.650304	1.461803	0.743659	0.718145	0.009139	0.860645	74.820000	0.879325	73.870000	
1.669919	1.474529	0.750220	0.724309	0.009143	0.851554	75.020000	0.870873	74.040000	
1.662441	1.463364	0.745012	0.718352	0.008999	0.852171	75.060000	0.874160	74.160000	
1.685307	1.478732	0.752939	0.725793	0.009031	0.837769	75.440000	0.860703	74.360000	
1.694844	1.476708	0.750727	0.725980	0.009233	0.830327	75.800000	0.848088	74.950000	
1.668441	1.450428	0.738875	0.711553	0.008947	0.841496	75.500000	0.858712	74.550000	
1.718552	1.487660	0.755970	0.731690	0.009190	0.843156	75.740000	0.862145	75.120000	
1.738787	1.500372	0.763615	0.736756	0.009213	0.833715	75.920000	0.848207	75.130000	
1.714526	1.472477	0.748151	0.724326	0.009090	0.829049	76.120000	0.841043	75.810000	
1.765222	1.513066	0.770106	0.742960	0.009213	0.808792	76.400000	0.820083	76.000000	
1.733463	1.479947	0.752871	0.727076	0.009014	0.807474	77.060000	0.816923	76.480000	
1.705218	1.452958	0.739244	0.713715	0.008737	0.817950	76.700000	0.829831	76.200000	
1.724514	1.460355	0.742100	0.718255	0.008916	0.801883	76.860000	0.816782	76.690000	
1.743919	1.476752	0.750590	0.726162	0.008796	0.798311	77.360000	0.813604	76.890000	
1.795427	1.512291	0.769486	0.742804	0.009096	0.808317	77.020000	0.817575	76.710000	
