Train Loss	Train Loss X	Train Loss X_nll	Train Loss X_ce	Train Loss U	Valid Loss	Valid Acc.	Test Loss	Test Acc.	
2.471093	2.467187	1.121824	1.345363	0.009210	2.192554	20.980000	2.184645	22.020000	
1.836466	1.825390	0.886790	0.938600	0.009944	1.746809	38.680000	1.742257	39.050000	
1.791883	1.774737	0.876767	0.897970	0.009147	1.439163	51.400000	1.443232	51.390000	
1.777060	1.753492	0.871963	0.881528	0.008989	1.345023	55.360000	1.353107	54.510000	
1.704397	1.675055	0.838277	0.836778	0.008695	1.287027	57.440000	1.293847	56.990000	
1.703962	1.668050	0.837265	0.830785	0.008712	1.242882	59.400000	1.249239	58.850000	
1.696148	1.653687	0.832962	0.820726	0.008709	1.205466	60.400000	1.217973	60.390000	
1.627634	1.579508	0.798249	0.781259	0.008556	1.187674	62.060000	1.200782	61.150000	
1.655127	1.599995	0.810222	0.789774	0.008642	1.165790	63.040000	1.179015	62.120000	
1.689622	1.625679	0.823540	0.802138	0.008973	1.155481	63.020000	1.170892	62.690000	
1.622086	1.551770	0.788343	0.763427	0.008925	1.193076	62.480000	1.210142	62.420000	
1.599295	1.523228	0.774875	0.748352	0.008817	1.160624	63.760000	1.182909	63.040000	
1.631390	1.546245	0.787054	0.759191	0.009080	1.133164	64.720000	1.160966	63.920000	
1.629278	1.535791	0.781627	0.754164	0.009232	1.107807	66.220000	1.136755	65.110000	
1.622306	1.519674	0.773321	0.746352	0.009438	1.073231	66.900000	1.101741	66.190000	
1.623247	1.514954	0.771942	0.743012	0.009317	1.018538	68.600000	1.040742	67.970000	
1.666770	1.548914	0.789133	0.759781	0.009523	0.986796	69.860000	1.004958	69.460000	
1.649339	1.524994	0.777857	0.747138	0.009476	0.986629	70.200000	1.007904	69.810000	
1.622025	1.493719	0.761245	0.732474	0.009248	0.977747	70.480000	1.004563	70.010000	
1.632570	1.494226	0.760955	0.733271	0.009458	0.966771	70.960000	0.994497	70.440000	
1.616010	1.475142	0.751926	0.723216	0.009162	0.957439	72.040000	0.986707	70.790000	
1.637253	1.486530	0.757305	0.729226	0.009346	0.970622	71.660000	0.993390	70.720000	
1.675426	1.518261	0.773316	0.744946	0.009314	0.971446	71.700000	0.993600	70.830000	
1.633237	1.472587	0.751107	0.721480	0.009117	0.964015	72.060000	0.985848	71.350000	
1.671393	1.497797	0.763425	0.734372	0.009448	0.952906	72.220000	0.976227	71.610000	
1.647222	1.470912	0.749625	0.721288	0.009220	0.943957	72.860000	0.962238	72.250000	
1.665381	1.481241	0.755129	0.726112	0.009266	0.925739	73.160000	0.942010	73.040000	
1.648308	1.461399	0.744213	0.717187	0.009062	0.930311	73.140000	0.949511	73.160000	
1.666123	1.473580	0.750523	0.723057	0.009009	0.928817	73.280000	0.953189	73.000000	
1.657176	1.460386	0.744612	0.715775	0.008896	0.934525	73.500000	0.958850	72.830000	
1.681223	1.476403	0.752753	0.723650	0.008954	0.924123	73.480000	0.947436	73.170000	
