Train Loss	Train Loss X	Train Loss X_nll	Train Loss X_ce	Train Loss U	Valid Loss	Valid Acc.	Test Loss	Test Acc.	
2.490875	2.486945	1.129034	1.357911	0.009181	2.140417	23.440000	2.138291	23.720000	
1.837794	1.826753	0.887815	0.938937	0.009932	1.673732	41.820000	1.675335	41.660000	
1.788991	1.772199	0.877099	0.895100	0.008960	1.422319	51.980000	1.419777	51.950000	
1.774054	1.750975	0.871580	0.879394	0.008802	1.337072	55.080000	1.330641	55.350000	
1.701258	1.672479	0.837888	0.834590	0.008524	1.277247	57.400000	1.268109	57.630000	
1.702037	1.666955	0.837452	0.829503	0.008510	1.226882	59.040000	1.220243	59.460000	
1.695682	1.653871	0.833579	0.820291	0.008577	1.178013	61.000000	1.173450	61.360000	
1.628415	1.580631	0.799299	0.781333	0.008495	1.153928	61.500000	1.150654	62.570000	
1.658133	1.603087	0.811777	0.791310	0.008629	1.130954	63.080000	1.131426	63.780000	
1.688831	1.624924	0.822746	0.802178	0.008968	1.110891	63.640000	1.114928	64.480000	
1.620949	1.549017	0.785669	0.763348	0.009127	1.092050	64.620000	1.097008	65.380000	
1.597302	1.518003	0.771142	0.746860	0.009191	1.069414	66.000000	1.082155	66.230000	
1.634331	1.546224	0.785731	0.760493	0.009394	1.027051	68.380000	1.045577	67.800000	
1.630694	1.534575	0.779592	0.754983	0.009494	1.016335	68.800000	1.036126	67.860000	
1.623785	1.519629	0.772168	0.747461	0.009580	0.997778	68.960000	1.020232	68.860000	
1.621135	1.511260	0.769156	0.742104	0.009453	0.981918	69.820000	1.002255	69.910000	
1.667861	1.549520	0.788556	0.760965	0.009563	0.961481	70.760000	0.977802	70.360000	
1.651017	1.526620	0.777653	0.748967	0.009481	0.946927	71.340000	0.958196	71.280000	
1.622006	1.493310	0.760682	0.732628	0.009276	0.939626	71.880000	0.952221	71.480000	
1.633300	1.494869	0.760980	0.733889	0.009464	0.941720	71.660000	0.956107	71.560000	
1.616929	1.473413	0.750292	0.723121	0.009335	0.936571	72.320000	0.955327	71.900000	
1.639414	1.487370	0.757386	0.729985	0.009428	0.912922	73.240000	0.932995	72.630000	
1.676470	1.517367	0.772832	0.744535	0.009430	0.907469	73.340000	0.924541	72.670000	
1.636760	1.472938	0.749925	0.723013	0.009297	0.896183	73.620000	0.911640	73.330000	
1.669902	1.496215	0.762792	0.733422	0.009453	0.896645	73.760000	0.917369	73.130000	
1.644940	1.467663	0.747957	0.719706	0.009270	0.876522	74.300000	0.902872	73.570000	
1.664285	1.478749	0.753751	0.724998	0.009336	0.873031	74.460000	0.898604	73.970000	
1.646900	1.460278	0.743806	0.716472	0.009049	0.848936	75.180000	0.873099	74.210000	
1.664564	1.471125	0.749450	0.721675	0.009051	0.851278	75.120000	0.869221	74.600000	
1.658660	1.460658	0.743813	0.716846	0.008951	0.865226	75.140000	0.882741	74.540000	
1.681408	1.475321	0.751726	0.723595	0.009010	0.848323	75.660000	0.869505	74.780000	
1.691091	1.475721	0.750756	0.724965	0.009115	0.834121	76.060000	0.852225	75.270000	
1.663339	1.447512	0.737523	0.709989	0.008858	0.823106	76.180000	0.835966	75.990000	
1.710495	1.483706	0.755053	0.728653	0.009027	0.824168	76.500000	0.838548	75.860000	
1.730969	1.494794	0.761611	0.733183	0.009126	0.825712	76.320000	0.842283	75.890000	
1.702683	1.466311	0.746169	0.720142	0.008877	0.823688	76.680000	0.842284	76.250000	
1.759999	1.509571	0.768780	0.740791	0.009149	0.797883	77.240000	0.813733	76.980000	
1.720830	1.472673	0.750133	0.722540	0.008824	0.795588	77.360000	0.807761	77.010000	
1.698383	1.450103	0.738161	0.711942	0.008599	0.803043	77.660000	0.817919	77.310000	
1.713794	1.454736	0.740113	0.714624	0.008744	0.805386	77.200000	0.818881	76.870000	
1.735452	1.469685	0.748390	0.721295	0.008750	0.807355	77.100000	0.817338	76.930000	
1.783633	1.505810	0.767013	0.738798	0.008926	0.792415	77.520000	0.805747	77.080000	
1.761171	1.479159	0.754162	0.724996	0.008846	0.772919	78.300000	0.785094	77.730000	
1.772507	1.484961	0.756166	0.728795	0.008813	0.778391	78.120000	0.795707	77.230000	
1.718474	1.436774	0.730969	0.705805	0.008441	0.772933	78.280000	0.783553	77.820000	
1.753282	1.460751	0.742853	0.717897	0.008571	0.774504	78.320000	0.782641	77.870000	
1.764582	1.459493	0.742133	0.717360	0.008748	0.769043	78.580000	0.776893	78.020000	
1.766564	1.459638	0.742315	0.717323	0.008614	0.769620	78.260000	0.781357	77.840000	
1.768165	1.453443	0.739775	0.713669	0.008653	0.777138	78.540000	0.791588	78.020000	
1.781206	1.464576	0.744116	0.720460	0.008528	0.769414	78.400000	0.787910	77.900000	
1.790364	1.460113	0.742087	0.718026	0.008719	0.765772	78.900000	0.785340	77.970000	
1.840097	1.494798	0.761563	0.733235	0.008939	0.756616	78.820000	0.773081	78.240000	
1.790464	1.454760	0.740119	0.714641	0.008526	0.738746	79.340000	0.754443	78.740000	
1.816633	1.472923	0.748669	0.724254	0.008565	0.730190	79.260000	0.747648	78.830000	
1.861559	1.499644	0.762929	0.736715	0.008855	0.731247	79.440000	0.752235	79.010000	
1.818088	1.465712	0.745508	0.720204	0.008466	0.726806	79.720000	0.746664	79.070000	
1.866563	1.495645	0.760385	0.735261	0.008752	0.725129	79.660000	0.744909	79.160000	
1.860246	1.487434	0.755761	0.731673	0.008645	0.731761	79.580000	0.746178	78.960000	
1.816746	1.452897	0.737845	0.715052	0.008294	0.729424	79.980000	0.743894	79.090000	
1.879295	1.494518	0.758360	0.736159	0.008623	0.728053	79.520000	0.746152	79.230000	
1.876506	1.478443	0.750918	0.727525	0.008772	0.720516	79.980000	0.743260	79.370000	
1.892308	1.495056	0.759411	0.735645	0.008612	0.724085	79.860000	0.743232	79.260000	
1.871955	1.469575	0.746251	0.723324	0.008585	0.707008	80.320000	0.725267	79.860000	
1.854103	1.453969	0.737694	0.716275	0.008402	0.707212	80.480000	0.724750	79.730000	
1.864763	1.457180	0.738720	0.718459	0.008426	0.706957	80.360000	0.724737	79.930000	
1.873380	1.460775	0.740178	0.720597	0.008401	0.708316	80.420000	0.726691	79.840000	
1.939070	1.509659	0.765570	0.744089	0.008610	0.697006	80.780000	0.717775	80.270000	
1.931661	1.501872	0.761189	0.740684	0.008489	0.706641	80.720000	0.731714	79.670000	
1.891818	1.462484	0.740806	0.721678	0.008357	0.712852	80.220000	0.735166	79.840000	
1.907629	1.462842	0.739736	0.723105	0.008532	0.704615	80.620000	0.727261	80.000000	
1.959365	1.507136	0.763322	0.743814	0.008553	0.693532	80.880000	0.717691	80.210000	
1.935022	1.483217	0.750767	0.732449	0.008425	0.699540	80.240000	0.720500	80.270000	
1.952314	1.488419	0.754536	0.733883	0.008532	0.697667	80.840000	0.724108	80.420000	
1.951037	1.484779	0.752018	0.732761	0.008459	0.687603	81.180000	0.712765	80.470000	
1.990639	1.510554	0.764753	0.745801	0.008593	0.674596	81.020000	0.701701	80.530000	
1.944038	1.475385	0.746203	0.729182	0.008277	0.671074	81.200000	0.697841	80.490000	
1.940371	1.463292	0.740199	0.723094	0.008314	0.687789	80.700000	0.713020	80.230000	
1.981545	1.484420	0.750450	0.733969	0.008552	0.665227	81.380000	0.685775	80.730000	
1.972550	1.482462	0.749614	0.732847	0.008323	0.657106	81.880000	0.683707	81.020000	
1.987868	1.480691	0.747904	0.732787	0.008507	0.670228	81.840000	0.694886	80.970000	
1.982901	1.482982	0.749585	0.733397	0.008280	0.662775	81.780000	0.684887	81.130000	
2.048238	1.515618	0.766163	0.749455	0.008714	0.660218	81.840000	0.682076	81.380000	
1.960706	1.454439	0.734114	0.720324	0.008182	0.655711	82.040000	0.677287	81.220000	
2.030743	1.500879	0.758478	0.742401	0.008461	0.664432	82.120000	0.689109	81.370000	
2.031226	1.491317	0.752962	0.738356	0.008519	0.665088	81.780000	0.690779	81.330000	
1.968131	1.441552	0.727667	0.713885	0.008212	0.657565	82.220000	0.686688	81.250000	
2.007004	1.469752	0.741269	0.728483	0.008282	0.654196	82.280000	0.683678	81.280000	
2.032657	1.484664	0.749609	0.735055	0.008351	0.662904	82.360000	0.686304	81.120000	
2.025463	1.474111	0.743205	0.730906	0.008307	0.662331	82.100000	0.686843	81.090000	
2.034615	1.466290	0.738923	0.727367	0.008466	0.641012	82.520000	0.667599	81.590000	
2.091883	1.510291	0.761546	0.748745	0.008569	0.650608	81.880000	0.671560	81.510000	
2.084875	1.496840	0.755426	0.741414	0.008569	0.637682	82.640000	0.655754	81.940000	
2.049671	1.475581	0.743551	0.732031	0.008275	0.653293	82.540000	0.675665	81.490000	
