Train Loss	Train Loss S	Train Loss S_nll	Train Loss S_ce	Train Loss U	Valid Loss	Valid Acc.	Test Loss	Test Acc.	
2.424421	2.424421	1.274060	1.150361	0.809109	2.275133	10.540000	2.272091	10.540000	
1.194456	0.362667	0.225568	0.137100	1.052897	2.252230	14.560000	2.244435	14.730000	
1.609941	0.234344	0.152587	0.081757	0.870631	2.240499	13.380000	2.235664	13.790000	
2.196814	0.212924	0.149902	0.063023	0.837084	2.194073	15.760000	2.195939	16.460000	
2.746288	0.189316	0.135346	0.053969	0.809169	2.161201	19.640000	2.165908	20.430000	
3.362447	0.139902	0.114516	0.025387	0.815834	2.106720	26.700000	2.109687	27.140000	
4.043068	0.225737	0.171083	0.054654	0.805344	2.360360	37.600000	2.359915	38.560000	
4.611204	0.165444	0.140484	0.024960	0.803935	2.596531	37.840000	2.569166	39.140000	
5.228963	0.194607	0.163123	0.031484	0.796575	2.973741	38.980000	2.947370	40.140000	
5.872884	0.199618	0.170294	0.029324	0.797929	3.286938	40.440000	3.269702	41.580000	
6.430115	0.203985	0.175324	0.028661	0.788117	3.070296	40.760000	3.057335	41.950000	
7.082986	0.223694	0.193638	0.030056	0.789332	3.413577	42.420000	3.440748	43.400000	
7.648995	0.226056	0.197626	0.028430	0.783010	3.216791	42.460000	3.221466	43.560000	
8.152223	0.240507	0.207911	0.032596	0.770372	3.209726	42.920000	3.219615	44.010000	
8.741438	0.246457	0.214941	0.031516	0.768082	3.073098	44.600000	3.071822	45.920000	
9.423284	0.283566	0.245839	0.037727	0.771285	3.134656	44.900000	3.126286	45.810000	
9.867389	0.293308	0.252030	0.041278	0.757443	3.322052	45.320000	3.320638	45.830000	
10.571568	0.298675	0.260850	0.037825	0.764921	3.420689	44.900000	3.435648	45.610000	
11.119797	0.317069	0.273737	0.043332	0.759685	3.073428	45.380000	3.048526	46.680000	
11.731618	0.329812	0.287045	0.042767	0.759614	3.271304	44.660000	3.212833	45.870000	
12.337168	0.357911	0.309288	0.048623	0.758181	3.221068	45.320000	3.189652	45.890000	
12.967825	0.377387	0.325354	0.052033	0.758917	2.959886	44.480000	2.908685	45.590000	
13.575364	0.398137	0.345102	0.053035	0.758183	3.213181	45.980000	3.208125	46.720000	
14.255766	0.429205	0.370783	0.058422	0.760956	3.215847	46.300000	3.207131	46.480000	
14.829060	0.429552	0.372263	0.057289	0.759468	3.002549	48.240000	3.003067	48.470000	
15.390451	0.446345	0.384163	0.062182	0.756663	3.129124	48.220000	3.155714	48.120000	
16.133259	0.482667	0.416702	0.065966	0.761957	3.325585	47.760000	3.308154	48.530000	
16.599045	0.484044	0.419841	0.064203	0.755508	3.102016	48.180000	3.059204	48.600000	
17.162550	0.494399	0.430674	0.063725	0.753533	3.241162	48.440000	3.228736	48.730000	
17.861162	0.534769	0.459724	0.075046	0.756281	3.210741	48.880000	3.194249	49.100000	
18.565912	0.555017	0.477589	0.077428	0.759954	3.110910	49.060000	3.132566	49.390000	
19.084707	0.555926	0.480995	0.074931	0.756586	3.421704	49.740000	3.481921	49.080000	
19.795809	0.583340	0.503112	0.080228	0.759987	3.089211	49.240000	3.137894	48.460000	
20.389137	0.595743	0.510596	0.085147	0.759240	3.318597	49.080000	3.336294	49.300000	
21.165459	0.631372	0.539897	0.091475	0.764486	3.268251	48.040000	3.255300	48.520000	
21.751310	0.643453	0.550541	0.092912	0.763395	3.591498	48.660000	3.643351	48.930000	
22.173962	0.638544	0.546425	0.092119	0.757222	3.396906	48.560000	3.456696	48.310000	
23.148321	0.692873	0.585302	0.107571	0.768233	3.047356	49.040000	3.094655	49.130000	
23.779957	0.693015	0.589684	0.103331	0.769052	3.523711	48.760000	3.526359	49.150000	
24.255838	0.697685	0.593330	0.104356	0.764627	3.423557	49.840000	3.451137	49.880000	
24.894016	0.693802	0.594515	0.099288	0.765829	3.465654	49.840000	3.499998	49.710000	
25.489773	0.728622	0.613619	0.115003	0.764469	3.455995	49.420000	3.476604	49.770000	
26.115519	0.735238	0.622355	0.112883	0.764927	3.655427	48.960000	3.649817	49.340000	
26.942753	0.753519	0.636360	0.117159	0.770952	3.700136	49.340000	3.735455	49.800000	
27.404449	0.773693	0.647881	0.125813	0.766132	3.645199	48.160000	3.660536	48.790000	
28.115036	0.790834	0.663498	0.127336	0.768613	4.050340	48.420000	4.095365	48.180000	
28.571489	0.769701	0.648228	0.121473	0.765046	4.066266	47.400000	4.105409	47.570000	
29.298702	0.811267	0.672376	0.138891	0.767235	3.872274	48.360000	3.873900	48.070000	
30.376661	0.830732	0.690631	0.140101	0.779165	4.353392	47.040000	4.337560	46.210000	
30.780870	0.837018	0.694438	0.142579	0.773543	4.043402	46.820000	4.072107	46.210000	
31.289114	0.837139	0.696348	0.140791	0.770935	3.562215	48.540000	3.557495	48.530000	
32.067623	0.845814	0.702612	0.143202	0.774927	3.660264	47.380000	3.708917	47.090000	
32.446793	0.884902	0.723995	0.160908	0.768303	3.849404	47.540000	3.874685	47.680000	
33.256245	0.873550	0.720047	0.153503	0.773411	3.517089	50.760000	3.551982	50.120000	
33.829662	0.895015	0.732345	0.162670	0.772026	3.482252	50.320000	3.493577	50.150000	
34.480335	0.894476	0.733905	0.160571	0.772978	3.869706	50.020000	3.897240	49.930000	
35.123344	0.894896	0.735521	0.159375	0.773699	3.571013	50.400000	3.575200	50.760000	
35.734264	0.925959	0.751785	0.174174	0.773003	3.940006	50.680000	3.937510	50.690000	
36.571991	0.922077	0.752192	0.169885	0.778043	3.801824	51.040000	3.822386	51.040000	
37.097755	0.934212	0.758440	0.175772	0.775875	4.005338	49.900000	4.017492	50.750000	
37.867828	0.923069	0.752846	0.170224	0.779425	3.560322	50.200000	3.541959	50.900000	
38.351158	0.961712	0.772696	0.189016	0.775875	4.396038	49.700000	4.390119	49.530000	
39.075302	0.951430	0.767697	0.183733	0.778356	4.427533	50.260000	4.443384	50.010000	
39.298119	0.948844	0.768744	0.180100	0.770530	4.174364	49.300000	4.198779	48.640000	
40.438400	0.964664	0.776026	0.188638	0.780731	4.181208	49.140000	4.193527	48.920000	
40.885098	0.948494	0.771718	0.176776	0.777733	4.523894	47.500000	4.483867	47.680000	
41.569820	0.996747	0.792715	0.204032	0.778157	3.990073	50.560000	3.954714	51.220000	
42.399624	0.997048	0.794803	0.202244	0.782214	4.046878	48.740000	4.084043	49.260000	
42.721363	0.981259	0.788353	0.192906	0.776994	4.158521	49.400000	4.184212	49.550000	
43.565048	0.999036	0.796558	0.202478	0.780884	3.789778	50.720000	3.808023	51.250000	
44.303024	0.996353	0.796805	0.199548	0.783123	3.861340	50.940000	3.857386	51.410000	
44.576485	1.018431	0.805013	0.213418	0.776574	4.009408	49.920000	3.973791	50.170000	
45.165253	1.006170	0.801677	0.204493	0.776355	3.969545	49.880000	3.927927	50.790000	
45.881985	1.018998	0.806407	0.212591	0.777926	3.819662	50.080000	3.783865	50.250000	
46.388012	1.048562	0.819111	0.229451	0.775564	4.690010	48.180000	4.660962	47.670000	
47.459171	1.019183	0.808659	0.210524	0.783798	3.960935	49.840000	3.968990	50.050000	
47.691715	1.049174	0.822521	0.226653	0.776857	4.288151	49.640000	4.368749	49.530000	
48.385136	1.033955	0.814761	0.219195	0.778418	4.431398	48.640000	4.394617	49.000000	
48.903976	1.040112	0.819450	0.220662	0.776759	4.315228	50.100000	4.248172	50.650000	
49.815548	1.039735	0.821943	0.217793	0.781539	4.179461	51.220000	4.097130	51.550000	
50.462936	1.067698	0.832956	0.234742	0.781570	4.227498	50.600000	4.141286	50.330000	
51.015202	1.062544	0.830215	0.232329	0.780632	3.933175	50.820000	3.903208	50.520000	
51.576317	1.086580	0.842605	0.243974	0.779403	3.882342	50.800000	3.833754	51.060000	
52.276123	1.089366	0.847140	0.242226	0.780643	4.038059	51.240000	4.039781	51.410000	
52.757755	1.088613	0.846879	0.241734	0.778618	4.222455	50.560000	4.174705	51.030000	
53.482067	1.094217	0.851423	0.242794	0.780162	4.691160	49.240000	4.697950	50.230000	
54.174580	1.119455	0.859414	0.260041	0.780912	4.383938	50.460000	4.322315	50.100000	
54.929363	1.125999	0.862777	0.263222	0.782822	4.441734	50.260000	4.382976	50.330000	
54.834972	1.107408	0.856841	0.250567	0.772836	3.957501	51.060000	3.944751	50.710000	
56.080086	1.172412	0.882240	0.290171	0.780938	4.690054	50.320000	4.676723	50.610000	
56.573189	1.129249	0.863044	0.266205	0.779802	4.007762	51.920000	3.999763	51.960000	
57.374744	1.134706	0.869310	0.265396	0.782307	4.215110	50.260000	4.170844	50.490000	
57.548073	1.135427	0.868269	0.267158	0.776179	4.102703	51.320000	4.071702	52.080000	
58.410255	1.159510	0.880130	0.279380	0.779239	4.245579	50.220000	4.192568	50.960000	
59.085117	1.152465	0.875131	0.277334	0.780132	4.145029	49.820000	4.060741	50.660000	
59.900753	1.181405	0.887113	0.294292	0.782403	4.231371	49.860000	4.135389	50.480000	
59.826672	1.157765	0.879784	0.277981	0.773588	4.220130	49.440000	4.208648	49.710000	
60.884781	1.147178	0.874765	0.272413	0.779559	3.939325	50.020000	3.913850	50.130000	
61.628719	1.181953	0.887947	0.294006	0.780765	4.013572	50.460000	3.998196	50.710000	
61.934479	1.184774	0.890088	0.294686	0.776752	4.370376	49.140000	4.358031	49.430000	
