Train Loss	Train Loss S	Train Loss S_nll	Train Loss S_ce	Train Loss U	Valid Loss	Valid Acc.	Test Loss	Test Acc.	
2.355358	2.355361	1.236121	1.119240	0.823173	2.285924	10.920000	2.286125	10.960000	
0.453707	0.453707	0.251207	0.202500	1.228024	2.253237	18.360000	2.254309	17.570000	
0.259150	0.259150	0.131569	0.127581	1.260665	2.205547	24.400000	2.196744	24.900000	
0.212658	0.212658	0.107085	0.105573	1.269245	2.198780	27.120000	2.181569	27.390000	
0.202331	0.202330	0.100582	0.101748	1.272618	2.518014	31.860000	2.479555	32.450000	
0.193900	0.193900	0.096669	0.097231	1.267964	2.606103	36.340000	2.565334	36.340000	
0.176157	0.176157	0.088440	0.087716	1.275192	2.994074	37.300000	2.917683	38.200000	
0.185165	0.185165	0.093901	0.091265	1.267333	3.711381	39.580000	3.653902	39.340000	
0.178020	0.178020	0.090008	0.088012	1.262181	4.261357	38.820000	4.167379	39.420000	
0.159046	0.159047	0.081035	0.078011	1.270124	4.087482	39.700000	3.958939	40.740000	
0.165617	0.165616	0.084714	0.080902	1.266085	4.689106	41.200000	4.631686	41.460000	
0.166108	0.166107	0.084818	0.081290	1.263242	5.178778	40.700000	5.045670	41.690000	
0.158468	0.158468	0.081180	0.077288	1.273824	5.191841	42.200000	5.058415	42.850000	
0.161933	0.161933	0.082021	0.079912	1.266734	5.226992	40.560000	5.029480	41.980000	
0.148181	0.148181	0.075744	0.072437	1.273855	5.094526	40.980000	4.943407	41.990000	
0.364952	0.364952	0.190707	0.174245	1.208490	2.916297	32.720000	2.839679	33.080000	
0.163207	0.163207	0.083614	0.079593	1.270257	3.127043	38.880000	3.063554	39.500000	
0.162958	0.162958	0.083765	0.079193	1.269472	3.691200	43.440000	3.651365	43.880000	
0.159999	0.159999	0.081205	0.078794	1.272194	4.421733	43.540000	4.451399	43.000000	
0.150437	0.150437	0.075867	0.074571	1.269111	4.573828	42.360000	4.558112	42.280000	
0.164494	0.164494	0.084402	0.080092	1.270882	5.073618	43.980000	5.122402	44.390000	
0.150956	0.150956	0.076889	0.074068	1.274128	4.679573	44.200000	4.711523	44.420000	
0.157069	0.157069	0.080081	0.076989	1.268476	5.121977	44.300000	5.125386	44.680000	
0.161131	0.161131	0.082919	0.078213	1.271389	5.823574	43.820000	5.798839	44.780000	
0.151611	0.151611	0.077165	0.074446	1.270706	5.235570	44.060000	5.243988	44.280000	
0.152655	0.152655	0.078930	0.073724	1.273141	5.250638	43.500000	5.325465	43.640000	
0.152926	0.152926	0.078330	0.074597	1.277895	5.007811	42.740000	5.077006	43.180000	
0.154919	0.154919	0.080041	0.074878	1.272863	5.472071	43.000000	5.547014	42.720000	
0.161524	0.161524	0.082437	0.079087	1.270940	5.247699	44.000000	5.258904	44.260000	
0.138543	0.138543	0.070458	0.068085	1.282955	5.798655	42.760000	5.763427	43.720000	
0.152160	0.152160	0.077463	0.074697	1.276204	5.856731	41.660000	5.867782	42.830000	
0.161802	0.161802	0.084156	0.077647	1.270678	5.711212	41.980000	5.667295	42.990000	
0.159565	0.159565	0.081358	0.078207	1.271955	6.989264	42.220000	7.085699	43.390000	
0.177767	0.177767	0.092434	0.085333	1.268315	5.786807	40.360000	5.844868	40.780000	
0.126814	0.126814	0.065925	0.060889	1.282676	4.967322	41.360000	4.951973	42.290000	
0.164256	0.164256	0.084814	0.079442	1.273192	7.421669	37.140000	7.458026	38.280000	
0.138688	0.138688	0.072396	0.066291	1.283020	7.041153	41.280000	7.141168	41.890000	
0.135303	0.135303	0.070591	0.064712	1.280286	9.060668	39.260000	9.181099	39.260000	
0.168879	0.168879	0.087390	0.081489	1.271245	5.320205	41.700000	5.329663	42.170000	
0.163808	0.163808	0.084581	0.079226	1.270083	7.230131	39.440000	7.267699	40.060000	
0.136368	0.136368	0.070172	0.066197	1.277586	5.889288	42.360000	5.952366	43.070000	
0.140866	0.140866	0.072244	0.068622	1.275874	7.593826	39.760000	7.616754	40.260000	
0.156715	0.156715	0.079261	0.077454	1.270315	9.478314	37.720000	9.548817	38.150000	
0.145054	0.145054	0.074134	0.070921	1.278075	8.074030	40.380000	8.020367	41.260000	
0.136561	0.136561	0.070128	0.066433	1.279086	6.068901	42.940000	5.986836	43.480000	
0.155626	0.155626	0.079008	0.076618	1.271505	7.139085	41.840000	7.054667	42.930000	
0.137669	0.137669	0.071007	0.066662	1.277291	5.685752	43.860000	5.635007	44.620000	
0.136352	0.136351	0.069215	0.067136	1.278261	7.161327	41.860000	7.163475	42.450000	
0.144432	0.144432	0.072934	0.071498	1.273724	8.582200	39.580000	8.633526	39.690000	
0.145258	0.145258	0.075431	0.069828	1.274724	8.769821	40.280000	8.693351	40.520000	
0.189954	0.189954	0.098599	0.091355	1.246357	4.127032	41.980000	4.122459	41.810000	
0.140993	0.140993	0.072311	0.068682	1.278741	4.836866	43.400000	4.735945	44.350000	
0.296779	0.296779	0.155415	0.141364	1.233844	3.327095	34.980000	3.255166	34.940000	
0.245721	0.245721	0.133184	0.112537	1.266654	4.321052	38.780000	4.163230	40.120000	
0.163037	0.163037	0.083811	0.079226	1.272123	6.211397	40.120000	6.084984	41.120000	
0.135667	0.135667	0.068974	0.066693	1.282822	5.625726	41.960000	5.520611	42.870000	
0.092331	0.092331	0.047708	0.044624	1.289792	2.698942	40.220000	2.653260	40.690000	
0.547508	0.547509	0.287506	0.260003	1.182477	3.088083	34.380000	3.026816	34.810000	
0.157888	0.157888	0.081046	0.076842	1.281765	4.980934	36.360000	4.835442	37.030000	
0.141362	0.141362	0.073022	0.068341	1.283072	5.093678	40.560000	4.978200	41.030000	
0.155760	0.155760	0.079501	0.076258	1.279838	6.792387	40.340000	6.656833	41.890000	
0.150499	0.150499	0.077133	0.073367	1.279554	8.977056	38.020000	8.754996	38.820000	
0.157642	0.157642	0.079271	0.078371	1.277949	7.018956	42.020000	6.849966	42.270000	
0.130332	0.130333	0.067551	0.062782	1.285405	4.212304	44.580000	4.240485	44.840000	
0.152692	0.152692	0.076640	0.076052	1.281453	7.052446	42.060000	6.997073	43.170000	
0.183759	0.183759	0.095398	0.088361	1.266029	4.309667	42.720000	4.206714	43.810000	
0.145251	0.145251	0.075188	0.070063	1.282246	5.020256	42.580000	4.876980	43.970000	
0.145438	0.145438	0.074537	0.070901	1.276181	5.326197	42.420000	5.178282	44.010000	
0.152956	0.152956	0.077610	0.075346	1.278980	7.717276	40.120000	7.560506	40.960000	
0.143956	0.143956	0.074517	0.069440	1.280046	8.992707	37.580000	8.846059	38.400000	
0.160003	0.160003	0.080005	0.079999	1.277627	7.449274	39.100000	7.282876	40.760000	
0.137701	0.137701	0.070961	0.066740	1.289205	6.486868	42.240000	6.377927	43.490000	
0.170388	0.170388	0.086373	0.084015	1.272673	7.524087	41.180000	7.371325	42.460000	
0.111431	0.111430	0.057347	0.054084	1.292189	4.117144	42.820000	4.036256	43.250000	
0.212338	0.212338	0.107850	0.104489	1.260252	4.471060	44.400000	4.399087	44.980000	
0.145544	0.145544	0.074595	0.070949	1.280387	6.252866	42.900000	6.173364	44.150000	
0.157790	0.157790	0.080431	0.077359	1.276512	7.270061	41.640000	7.271877	42.480000	
0.141844	0.141844	0.072829	0.069015	1.285087	7.509033	40.940000	7.534210	41.480000	
0.138009	0.138009	0.070369	0.067640	1.284788	6.233578	43.180000	6.234559	43.760000	
0.151826	0.151826	0.077946	0.073880	1.275480	6.577997	42.240000	6.620025	42.620000	
0.150123	0.150123	0.075838	0.074285	1.276260	7.730790	40.200000	7.739659	41.020000	
0.139427	0.139427	0.070288	0.069139	1.280811	6.658604	41.620000	6.550947	42.620000	
0.143204	0.143204	0.071652	0.071552	1.277948	5.869273	42.260000	5.788492	42.920000	
