Train Loss	Train Loss X	Train Loss X_nll	Train Loss X_ce	Train Loss U	Valid Loss	Valid Acc.	Test Loss	Test Acc.	
3.230322	3.227906	1.614693	1.613213	0.008270	2.371063	14.580000	2.365098	15.970000	
2.780373	2.771017	1.555911	1.215106	0.011888	1.601638	41.100000	1.591747	41.550000	
2.550142	2.532460	1.545240	0.987220	0.013532	1.009379	65.540000	0.990176	66.260000	
2.364775	2.338013	1.537350	0.800663	0.014640	0.845790	71.740000	0.823794	71.810000	
2.275359	2.239990	1.533792	0.706198	0.015112	0.804350	73.100000	0.788719	73.230000	
2.210481	2.165579	1.527447	0.638131	0.015719	0.794350	74.040000	0.777536	74.030000	
2.207130	2.154453	1.525869	0.628584	0.015559	0.786461	74.220000	0.766775	75.120000	
2.159538	2.100331	1.522916	0.577415	0.015178	0.781280	74.500000	0.760102	75.100000	
2.154474	2.087580	1.523146	0.564435	0.015142	0.767971	75.160000	0.743286	75.880000	
2.137915	2.061814	1.521127	0.540687	0.015418	0.758338	75.700000	0.737930	76.040000	
2.151923	2.067639	1.521343	0.546297	0.015433	0.744620	75.800000	0.724789	76.700000	
2.114539	2.026679	1.516637	0.510041	0.014688	0.734286	76.400000	0.715599	77.080000	
2.095281	1.998936	1.516615	0.482321	0.014811	0.716356	77.140000	0.707108	77.360000	
2.092317	1.990727	1.516723	0.474004	0.014476	0.708441	77.540000	0.697550	77.460000	
2.093645	1.982926	1.515282	0.467643	0.014681	0.701686	77.720000	0.685957	77.770000	
2.102031	1.986561	1.517104	0.469457	0.014331	0.689357	78.460000	0.672647	78.480000	
2.079937	1.959171	1.514532	0.444639	0.014070	0.679399	78.380000	0.663002	78.760000	
2.087212	1.959525	1.512440	0.447085	0.014030	0.676925	78.820000	0.662427	78.900000	
2.104190	1.967532	1.513397	0.454135	0.014210	0.667348	79.100000	0.655929	79.080000	
2.100706	1.958752	1.515141	0.443612	0.013998	0.654328	79.120000	0.644776	79.220000	
2.083712	1.941620	1.511227	0.430393	0.013325	0.640366	79.480000	0.631634	79.580000	
2.084081	1.936013	1.513431	0.422582	0.013243	0.628360	79.640000	0.619225	80.140000	
2.096885	1.943227	1.513299	0.429928	0.013130	0.621403	80.040000	0.615333	80.230000	
2.117842	1.951956	1.512211	0.439745	0.013575	0.613454	80.860000	0.605858	80.610000	
2.106528	1.938244	1.512754	0.425490	0.013213	0.613033	80.700000	0.606897	80.430000	
2.101552	1.929004	1.512376	0.416628	0.013012	0.604089	81.160000	0.596716	80.910000	
2.104419	1.920752	1.511311	0.409441	0.013329	0.591755	81.140000	0.585862	81.220000	
2.135670	1.946467	1.514571	0.431896	0.013229	0.588322	81.620000	0.581985	81.160000	
2.144880	1.947711	1.514361	0.433351	0.013302	0.584767	81.500000	0.579516	81.320000	
2.120171	1.925951	1.513586	0.412365	0.012660	0.577927	81.900000	0.568890	81.620000	
2.151023	1.941430	1.514414	0.427016	0.013218	0.573921	82.120000	0.567677	81.900000	
2.145280	1.937957	1.513029	0.424928	0.012659	0.573346	82.260000	0.564855	81.780000	
2.130316	1.915210	1.511638	0.403572	0.012732	0.564861	82.160000	0.558403	82.340000	
2.147318	1.926463	1.513314	0.413149	0.012680	0.562653	82.320000	0.553227	82.310000	
2.182865	1.951503	1.513517	0.437986	0.012895	0.558384	82.620000	0.547156	82.690000	
2.150669	1.922922	1.512411	0.410511	0.012338	0.555665	82.300000	0.540644	83.220000	
2.147624	1.913042	1.512565	0.400477	0.012360	0.545609	82.900000	0.532691	83.350000	
2.158412	1.916434	1.512598	0.403836	0.012412	0.545226	83.220000	0.532526	83.470000	
2.196196	1.944838	1.512693	0.432145	0.012555	0.540817	83.500000	0.530284	83.500000	
2.161284	1.914721	1.511286	0.403435	0.012004	0.535856	83.340000	0.524977	83.860000	
2.195390	1.933451	1.513795	0.419656	0.012437	0.534984	83.580000	0.524480	84.060000	
2.168308	1.909128	1.512188	0.396940	0.012011	0.530199	83.480000	0.519333	84.090000	
2.210171	1.933853	1.513020	0.420833	0.012503	0.524375	83.860000	0.511247	84.270000	
2.196098	1.918652	1.514241	0.404411	0.012266	0.520247	84.120000	0.506929	84.450000	
2.203452	1.921329	1.513139	0.408190	0.012192	0.514683	84.500000	0.505889	84.550000	
2.203166	1.918856	1.512935	0.405920	0.012018	0.510916	84.660000	0.499968	84.690000	
2.201670	1.915531	1.511995	0.403536	0.011834	0.506781	84.500000	0.499640	84.670000	
2.197556	1.910779	1.512656	0.398123	0.011611	0.497760	85.040000	0.493996	84.980000	
2.206287	1.911886	1.512788	0.399098	0.011674	0.493964	85.020000	0.494746	84.780000	
2.239059	1.933445	1.514092	0.419353	0.011875	0.490989	85.420000	0.491397	85.230000	
2.224818	1.913836	1.513413	0.400423	0.011843	0.487275	85.440000	0.489995	85.270000	
2.251653	1.936764	1.514994	0.421770	0.011757	0.490977	85.400000	0.487077	85.130000	
2.232515	1.920398	1.512645	0.407753	0.011432	0.486747	85.500000	0.482070	85.560000	
2.239381	1.920498	1.513589	0.406909	0.011461	0.480282	85.720000	0.477024	85.900000	
2.272019	1.932001	1.514362	0.417639	0.011998	0.476516	85.700000	0.474051	85.900000	
2.249292	1.919040	1.511226	0.407814	0.011443	0.477203	85.540000	0.474700	85.730000	
2.251489	1.914022	1.512185	0.401836	0.011487	0.473739	85.740000	0.468453	85.920000	
2.278536	1.933844	1.512713	0.421131	0.011530	0.468020	85.900000	0.466325	86.250000	
2.267308	1.922411	1.511147	0.411264	0.011338	0.467142	86.020000	0.466737	86.380000	
2.264182	1.918040	1.512880	0.405160	0.011188	0.459763	86.300000	0.457723	86.220000	
2.268978	1.920527	1.514606	0.405921	0.011076	0.452222	86.840000	0.451948	86.420000	
2.269240	1.911902	1.513668	0.398234	0.011175	0.454563	86.700000	0.453823	86.460000	
2.294111	1.930805	1.511927	0.418877	0.011179	0.454109	86.580000	0.452768	86.560000	
2.288813	1.917898	1.513518	0.404380	0.011234	0.458336	86.640000	0.448940	86.820000	
2.314983	1.930251	1.511652	0.418599	0.011470	0.455057	86.600000	0.447880	86.750000	
2.309589	1.923825	1.512935	0.410890	0.011326	0.446912	86.840000	0.441383	87.160000	
2.301930	1.921894	1.513974	0.407920	0.010991	0.443094	87.060000	0.442139	87.180000	
2.282196	1.903713	1.511549	0.392164	0.010784	0.439215	87.320000	0.437378	87.240000	
2.331349	1.936470	1.515854	0.420616	0.011087	0.443358	87.260000	0.439283	87.100000	
2.328490	1.920900	1.514611	0.406289	0.011277	0.434164	87.400000	0.431436	87.320000	
2.334015	1.932470	1.514121	0.418348	0.010952	0.435000	87.400000	0.433851	87.180000	
2.330616	1.924137	1.512313	0.411824	0.010933	0.433803	87.660000	0.433102	87.260000	
2.344109	1.929699	1.514154	0.415546	0.010992	0.434568	87.420000	0.431430	87.480000	
2.353368	1.930370	1.513533	0.416837	0.011068	0.432840	87.260000	0.426101	87.930000	
2.349658	1.923186	1.513182	0.410004	0.011009	0.435788	87.600000	0.428945	87.700000	
2.334159	1.914851	1.511110	0.403742	0.010680	0.430556	87.680000	0.425914	87.830000	
2.356642	1.925462	1.512554	0.412908	0.010840	0.427128	87.700000	0.422841	88.020000	
2.371151	1.926730	1.513057	0.413673	0.011027	0.430882	87.520000	0.424217	87.940000	
2.358893	1.925184	1.512567	0.412616	0.010625	0.423826	87.900000	0.418527	88.210000	
2.363553	1.919760	1.513910	0.405851	0.010735	0.419086	88.020000	0.415224	88.210000	
2.377497	1.925624	1.514408	0.411215	0.010794	0.420630	87.940000	0.415788	88.260000	
2.366623	1.921268	1.512746	0.408522	0.010510	0.420026	88.300000	0.416900	88.230000	
2.388017	1.929115	1.515544	0.413571	0.010697	0.412796	88.440000	0.413120	88.370000	
2.411733	1.945438	1.514332	0.431105	0.010739	0.410631	88.580000	0.412040	88.280000	
2.378662	1.922489	1.511863	0.410626	0.010382	0.411567	88.520000	0.411717	88.230000	
2.380488	1.919961	1.514836	0.405126	0.010359	0.410328	88.520000	0.410385	88.160000	
2.406324	1.925839	1.514693	0.411146	0.010682	0.409675	88.640000	0.413814	88.340000	
2.432672	1.932861	1.514932	0.417929	0.010985	0.409659	88.840000	0.412841	88.350000	
2.404950	1.921961	1.513266	0.408695	0.010495	0.407875	88.760000	0.412145	88.300000	
2.381180	1.898737	1.510849	0.387888	0.010367	0.406149	88.900000	0.409817	88.590000	
2.409808	1.919821	1.513286	0.406535	0.010411	0.405237	89.040000	0.410684	88.630000	
2.432335	1.929509	1.512474	0.417035	0.010569	0.402225	89.200000	0.409224	88.480000	
2.466242	1.944149	1.516335	0.427814	0.010855	0.405188	88.520000	0.409893	88.460000	
2.477752	1.947341	1.514213	0.433128	0.010909	0.402406	88.740000	0.408111	88.530000	
2.423553	1.914655	1.511742	0.402913	0.010355	0.402034	88.880000	0.407813	88.640000	
2.459201	1.935598	1.512805	0.422794	0.010544	0.400959	89.040000	0.407042	88.700000	
2.451738	1.935938	1.513752	0.422186	0.010279	0.402349	89.220000	0.404787	88.970000	
2.447141	1.926310	1.513685	0.412625	0.010273	0.396460	89.280000	0.398313	89.030000	
2.451913	1.922556	1.513046	0.409510	0.010336	0.395949	89.200000	0.397195	89.050000	
2.472149	1.925675	1.513211	0.412464	0.010561	0.393956	89.120000	0.399825	88.890000	
