Train Loss	Train Loss X	Train Loss U	Valid Loss	Valid Acc.	Test Loss	Test Acc.	
3.356893	3.352206	0.008097	2.108170	21.400000	2.092023	23.100000	
2.767541	2.748421	0.012774	1.712107	40.780000	1.692598	41.810000	
2.578473	2.545668	0.013286	1.440794	52.160000	1.416390	52.240000	
2.535546	2.489429	0.013345	1.358910	55.960000	1.337841	56.160000	
2.517008	2.459792	0.012859	1.316451	57.460000	1.298495	57.830000	
2.501271	2.430080	0.013088	1.289091	58.640000	1.267787	59.220000	
2.497985	2.412545	0.013294	1.248789	60.480000	1.237859	60.340000	
2.482620	2.384496	0.013204	1.219920	61.220000	1.211421	61.010000	
2.502479	2.389306	0.013445	1.201182	61.660000	1.198537	61.420000	
2.498315	2.374704	0.013148	1.164366	62.600000	1.159136	62.470000	
2.485354	2.353568	0.012681	1.123842	64.120000	1.122893	64.090000	
2.504057	2.358822	0.012760	1.105242	65.000000	1.105924	65.130000	
2.510305	2.352882	0.012720	1.078873	66.200000	1.077647	66.100000	
2.502296	2.331203	0.012800	1.058219	67.100000	1.062505	66.750000	
2.521030	2.340046	0.012608	1.031487	68.000000	1.041498	67.510000	
2.524088	2.334171	0.012376	1.006047	68.840000	1.019808	68.700000	
2.527243	2.325942	0.012323	0.979506	70.120000	0.996980	69.460000	
2.537919	2.326213	0.012217	0.973094	70.360000	0.988839	69.910000	
2.553403	2.334262	0.011969	0.949010	70.880000	0.962775	71.040000	
2.561050	2.335149	0.011703	0.928614	71.820000	0.949524	71.630000	
2.570257	2.329363	0.011871	0.900794	73.140000	0.922542	72.380000	
2.555288	2.311757	0.011438	0.887879	73.560000	0.909874	72.840000	
2.577513	2.322411	0.011457	0.871299	73.800000	0.891352	73.370000	
2.558212	2.298479	0.011165	0.863915	74.260000	0.883966	73.680000	
2.611249	2.332451	0.011496	0.842365	74.980000	0.864613	74.300000	
2.608955	2.321273	0.011395	0.831130	75.400000	0.850574	74.730000	
2.616463	2.319972	0.011299	0.822740	75.960000	0.844955	75.060000	
2.617965	2.317676	0.011031	0.801826	76.800000	0.825122	75.690000	
