Train Loss	Train Loss X	Train Loss X_nll	Train Loss X_ce	Train Loss U	Valid Loss	Valid Acc.	Test Loss	Test Acc.	
3.689699	3.686923	1.583145	2.103778	0.005296	2.208020	18.700000	2.202985	19.890000	
3.455598	3.443382	1.569238	1.874144	0.008440	1.983574	33.100000	1.973964	34.090000	
3.279199	3.254587	1.561644	1.692942	0.010314	1.775517	40.360000	1.764925	41.590000	
3.192724	3.156085	1.555906	1.600180	0.011018	1.691879	42.560000	1.679299	44.300000	
3.147544	3.099464	1.552378	1.547087	0.011241	1.639735	45.040000	1.622191	45.950000	
3.113974	3.055182	1.550638	1.504544	0.011260	1.619605	46.340000	1.600069	47.180000	
3.091908	3.022724	1.546795	1.475929	0.011189	1.597306	47.140000	1.579969	47.690000	
3.105256	3.024025	1.545948	1.478077	0.011401	1.583134	47.660000	1.569009	48.470000	
3.104590	3.009608	1.544785	1.464824	0.011760	1.553526	48.860000	1.538897	49.650000	
3.091369	2.980774	1.544594	1.436180	0.012252	1.532505	49.360000	1.516936	50.510000	
3.107727	2.986668	1.542820	1.443849	0.012139	1.495326	50.900000	1.478445	51.810000	
3.116336	2.979450	1.543544	1.435905	0.012529	1.471445	52.480000	1.456737	52.990000	
3.110900	2.964145	1.541080	1.423066	0.012358	1.453521	53.320000	1.439462	53.650000	
3.113841	2.954166	1.540364	1.413802	0.012450	1.426389	55.040000	1.415956	54.990000	
3.113013	2.940170	1.540467	1.399703	0.012543	1.387919	56.200000	1.385705	56.140000	
3.116288	2.931904	1.540122	1.391782	0.012523	1.369022	57.700000	1.367062	56.930000	
3.144764	2.948746	1.541768	1.406978	0.012505	1.341409	58.620000	1.337405	58.000000	
3.162217	2.955319	1.542721	1.412598	0.012448	1.315981	59.180000	1.311258	59.340000	
3.161025	2.941485	1.541668	1.399817	0.012491	1.311451	59.480000	1.310743	59.600000	
3.177339	2.947693	1.540300	1.407393	0.012396	1.286093	60.560000	1.284454	60.770000	
3.165648	2.929703	1.539299	1.390404	0.012115	1.252839	61.720000	1.249780	61.860000	
3.182643	2.935168	1.540134	1.395034	0.012113	1.240713	61.780000	1.240830	62.450000	
3.181527	2.928980	1.538610	1.390370	0.011816	1.231702	62.200000	1.231919	62.710000	
3.196023	2.926836	1.538827	1.388010	0.012057	1.216753	62.960000	1.222495	62.940000	
3.201168	2.925618	1.538609	1.387009	0.011837	1.183364	64.180000	1.192589	64.140000	
3.213751	2.923857	1.539578	1.384279	0.011966	1.183692	64.600000	1.190434	64.360000	
3.221684	2.928580	1.539248	1.389332	0.011644	1.185832	64.580000	1.193154	64.410000	
3.237038	2.928737	1.539231	1.389506	0.011802	1.176656	64.460000	1.186378	64.770000	
3.249128	2.934284	1.540453	1.393832	0.011628	1.159234	65.180000	1.169658	65.340000	
3.266278	2.941145	1.539907	1.401238	0.011604	1.156948	65.200000	1.163622	65.790000	
3.244677	2.921792	1.538146	1.383646	0.011144	1.135411	66.320000	1.145056	66.210000	
3.261026	2.919842	1.539054	1.380788	0.011401	1.122249	67.160000	1.138284	66.680000	
3.258116	2.910469	1.538842	1.371627	0.011261	1.103039	67.540000	1.119504	67.340000	
3.294300	2.931442	1.539062	1.392380	0.011402	1.094827	67.940000	1.109675	67.610000	
3.303649	2.922094	1.539246	1.382848	0.011643	1.080392	68.240000	1.100406	67.810000	
3.318070	2.933432	1.539327	1.394104	0.011407	1.077051	68.380000	1.094673	67.960000	
3.313917	2.919114	1.538919	1.380195	0.011387	1.067416	69.020000	1.084805	68.570000	
3.334730	2.925670	1.538587	1.387082	0.011483	1.060425	69.320000	1.082335	68.510000	
3.355030	2.939410	1.541232	1.398178	0.011363	1.045593	69.080000	1.064067	69.260000	
3.366113	2.939538	1.540452	1.399085	0.011369	1.040229	69.940000	1.057858	69.420000	
3.355716	2.924719	1.539515	1.385204	0.011204	1.025533	69.900000	1.042967	69.810000	
3.353464	2.917907	1.538559	1.379348	0.011049	1.022184	70.380000	1.042050	69.990000	
3.399978	2.935770	1.539841	1.395929	0.011497	1.008075	70.900000	1.027724	70.300000	
3.372062	2.923720	1.540414	1.383306	0.010848	1.023123	70.380000	1.047974	70.080000	
3.403783	2.920331	1.538030	1.382301	0.011437	1.011229	70.980000	1.032657	69.990000	
3.425486	2.937096	1.540222	1.396874	0.011299	1.007960	71.260000	1.022006	70.480000	
3.432593	2.926523	1.538993	1.387530	0.011457	0.993574	71.560000	1.013008	70.940000	
3.427908	2.926766	1.538856	1.387910	0.011107	0.989893	71.780000	1.010753	71.200000	
3.440536	2.925543	1.538637	1.386906	0.011176	0.995090	71.520000	1.010403	71.000000	
3.429169	2.926853	1.539215	1.387638	0.010683	0.989439	71.580000	1.002720	71.120000	
3.434758	2.924014	1.539044	1.384970	0.010648	0.970995	72.140000	0.986093	71.790000	
3.458316	2.918985	1.539882	1.379103	0.011024	0.965953	72.240000	0.982153	72.150000	
3.454683	2.921127	1.538499	1.382628	0.010696	0.957617	72.620000	0.977794	72.280000	
3.471755	2.915737	1.537382	1.378354	0.010942	0.944458	73.060000	0.968127	72.410000	
3.514075	2.933444	1.539786	1.393658	0.011213	0.944488	73.080000	0.963761	72.690000	
3.508887	2.934566	1.539133	1.395433	0.010893	0.942236	73.320000	0.958536	72.950000	
3.534972	2.938901	1.540160	1.398742	0.011105	0.932610	73.700000	0.959112	72.810000	
3.524784	2.939986	1.539237	1.400748	0.010706	0.934119	73.600000	0.967128	72.430000	
3.542311	2.931415	1.539964	1.391451	0.010993	0.933484	73.440000	0.960884	73.030000	
3.553061	2.937121	1.540610	1.396511	0.010897	0.922966	73.640000	0.949230	73.010000	
3.544185	2.924489	1.538962	1.385527	0.010782	0.925665	73.720000	0.949336	73.050000	
3.564366	2.929541	1.539439	1.390103	0.010868	0.909366	73.960000	0.933465	73.650000	
3.575034	2.938954	1.541619	1.397335	0.010714	0.901379	73.860000	0.924237	74.110000	
3.579563	2.930960	1.539948	1.391012	0.010752	0.890156	74.260000	0.915529	74.090000	
3.594475	2.935541	1.539915	1.395626	0.010754	0.895969	74.480000	0.918000	74.010000	
3.592290	2.931452	1.540922	1.390530	0.010621	0.883060	74.820000	0.898475	74.670000	
3.613113	2.935386	1.539816	1.395570	0.010729	0.884131	74.700000	0.901926	74.740000	
3.624038	2.935408	1.539769	1.395639	0.010739	0.883593	74.880000	0.903749	74.800000	
3.625436	2.934309	1.540330	1.393979	0.010621	0.880224	75.100000	0.901960	74.570000	
3.624543	2.924470	1.539150	1.385319	0.010603	0.873176	75.200000	0.898010	74.690000	
3.638066	2.914802	1.538605	1.376197	0.010798	0.882297	74.940000	0.897764	74.820000	
3.639424	2.930567	1.539206	1.391361	0.010436	0.873670	75.140000	0.892523	74.950000	
3.654474	2.925727	1.537885	1.387842	0.010581	0.878419	75.180000	0.899036	74.530000	
3.690815	2.931347	1.539186	1.392160	0.010876	0.850764	76.240000	0.876701	75.360000	
3.720469	2.938714	1.539680	1.399034	0.011045	0.844658	76.580000	0.870471	75.270000	
3.695457	2.940400	1.540463	1.399937	0.010528	0.840095	76.560000	0.864141	75.790000	
3.726587	2.942678	1.540254	1.402424	0.010787	0.845753	76.640000	0.869328	75.580000	
3.700127	2.928669	1.539250	1.389419	0.010478	0.844588	76.460000	0.869148	75.350000	
3.726316	2.937114	1.539619	1.397495	0.010583	0.846265	76.380000	0.866030	75.680000	
3.725026	2.929173	1.538995	1.390178	0.010538	0.849367	76.300000	0.870620	75.570000	
3.747286	2.939307	1.539228	1.400079	0.010566	0.842244	76.040000	0.858192	75.590000	
3.752869	2.918555	1.537869	1.380685	0.010776	0.849275	75.940000	0.861479	75.470000	
3.730288	2.926034	1.538389	1.387645	0.010261	0.848298	76.540000	0.861997	75.580000	
3.767948	2.930288	1.539075	1.391213	0.010560	0.846193	76.720000	0.864130	75.720000	
3.785817	2.932974	1.539416	1.393559	0.010624	0.845070	76.780000	0.867072	75.770000	
3.803752	2.934748	1.539882	1.394866	0.010699	0.836688	76.540000	0.851471	76.030000	
3.801522	2.938228	1.538912	1.399316	0.010506	0.841342	76.660000	0.855674	75.900000	
3.833553	2.931631	1.539851	1.391781	0.010849	0.837585	76.680000	0.854728	75.810000	
3.820484	2.935776	1.539771	1.396005	0.010523	0.830594	76.820000	0.849059	76.060000	
3.849121	2.939747	1.541001	1.398746	0.010695	0.828298	76.980000	0.846596	76.030000	
3.828562	2.933911	1.540589	1.393322	0.010405	0.831935	76.760000	0.848886	76.200000	
3.848869	2.934595	1.540373	1.394222	0.010518	0.811814	77.180000	0.830358	76.520000	
3.824440	2.923403	1.537714	1.385689	0.010253	0.807709	77.340000	0.831860	76.390000	
3.898185	2.941837	1.540092	1.401745	0.010767	0.800770	77.560000	0.823122	76.900000	
3.930272	2.947445	1.541953	1.405493	0.010948	0.803767	77.380000	0.829090	76.500000	
3.894076	2.944452	1.541215	1.403238	0.010467	0.800505	77.520000	0.823509	77.120000	
3.896170	2.934116	1.539284	1.394832	0.010494	0.800221	77.440000	0.822200	76.750000	
3.903225	2.936788	1.540255	1.396533	0.010434	0.797780	77.920000	0.820178	77.020000	
3.956943	2.947315	1.540618	1.406697	0.010790	0.799965	77.740000	0.815316	77.070000	
3.937912	2.946883	1.540580	1.406303	0.010485	0.794022	77.820000	0.806909	77.420000	
