Train Loss	Train Loss X	Train Loss X_nll	Train Loss X_ce	Train Loss U	Valid Loss	Valid Acc.	Test Loss	Test Acc.	
3.579362	3.576485	1.601187	1.975298	0.006670	2.187682	20.680000	2.180701	21.200000	
3.180369	3.168281	1.532603	1.635678	0.010810	1.956882	30.460000	1.949183	30.330000	
3.055091	3.033816	1.519315	1.514501	0.011482	1.737377	41.340000	1.732697	41.520000	
3.016776	2.986254	1.513621	1.472633	0.011775	1.611187	46.600000	1.601224	47.300000	
2.991847	2.951714	1.510593	1.441120	0.012052	1.543396	49.880000	1.533274	49.820000	
2.970622	2.920611	1.508144	1.412466	0.012288	1.496560	51.800000	1.484970	51.790000	
2.974472	2.913330	1.507447	1.405883	0.012699	1.456113	53.220000	1.446439	53.270000	
2.967281	2.894652	1.504240	1.390413	0.013090	1.421967	54.500000	1.414020	54.730000	
2.980419	2.895607	1.504373	1.391234	0.013482	1.385980	56.280000	1.383590	56.020000	
2.972756	2.879753	1.503252	1.376502	0.013234	1.349398	57.520000	1.350141	57.310000	
2.976409	2.871743	1.501701	1.370042	0.013470	1.316084	58.840000	1.314956	58.780000	
2.983819	2.871026	1.502116	1.368910	0.013250	1.299483	59.740000	1.294083	59.690000	
2.998556	2.875878	1.502127	1.373752	0.013263	1.274129	60.740000	1.269201	60.570000	
2.996430	2.865089	1.500297	1.364792	0.013148	1.248431	62.260000	1.240494	61.800000	
3.001036	2.859910	1.500494	1.359417	0.013157	1.227431	63.040000	1.223362	62.720000	
3.007166	2.856011	1.497771	1.358241	0.013174	1.213983	63.080000	1.210588	63.510000	
3.022297	2.865660	1.500214	1.365447	0.012829	1.181700	64.300000	1.182175	64.640000	
3.027249	2.862386	1.500398	1.361988	0.012729	1.157271	65.320000	1.155567	65.630000	
3.036324	2.863090	1.500603	1.362487	0.012656	1.148135	65.600000	1.148033	66.020000	
3.038529	2.857721	1.499215	1.358507	0.012531	1.117106	67.180000	1.117693	66.870000	
3.039036	2.854844	1.498931	1.355913	0.012144	1.090677	67.860000	1.088112	67.930000	
3.052430	2.855434	1.499580	1.355854	0.012381	1.076890	68.400000	1.079392	68.270000	
