Train Loss	Train Loss X	Train Loss X_nll	Train Loss X_ce	Train Loss U	Valid Loss	Valid Acc.	Test Loss	Test Acc.	
2.261016	2.253445	1.516687	0.736758	0.017994	2.288145	21.400000	2.282264	21.610000	
1.739398	1.712635	1.330353	0.382282	0.024037	2.718881	26.680000	2.710515	26.690000	
1.607549	1.558004	1.181108	0.376896	0.026660	2.489401	40.920000	2.482746	39.980000	
1.554814	1.480881	1.064355	0.416525	0.028488	2.931442	46.040000	2.894528	46.020000	
1.534742	1.438017	0.987669	0.450348	0.029031	3.357482	48.380000	3.360311	47.390000	
1.450155	1.328384	0.889384	0.439000	0.029924	4.102616	48.600000	4.116073	47.520000	
1.461839	1.315206	0.828839	0.486367	0.030486	4.260240	50.600000	4.265237	49.060000	
1.434437	1.265992	0.797917	0.468075	0.030345	4.377898	50.180000	4.399061	48.630000	
1.438198	1.249240	0.765097	0.484143	0.030064	4.337712	50.520000	4.425562	50.250000	
1.420633	1.212057	0.743374	0.468683	0.029683	3.993064	51.480000	3.979589	51.360000	
1.381863	1.149158	0.699375	0.449783	0.029952	4.114364	52.420000	4.180554	52.370000	
1.353319	1.099854	0.653177	0.446676	0.029800	4.112133	52.180000	4.236642	51.570000	
1.415807	1.149647	0.698513	0.451134	0.028783	3.538901	53.580000	3.562951	52.880000	
1.405979	1.125355	0.689719	0.435636	0.028089	3.388169	53.260000	3.410419	53.690000	
1.394191	1.094684	0.679784	0.414900	0.027912	3.506345	53.320000	3.538661	53.070000	
1.452520	1.135932	0.707648	0.428285	0.027593	3.039397	53.980000	3.043708	53.220000	
1.469377	1.145663	0.715946	0.429717	0.026511	3.021729	54.260000	3.025320	53.910000	
1.494820	1.154380	0.724722	0.429658	0.026289	2.855481	54.020000	2.845562	53.090000	
1.487491	1.140635	0.729844	0.410790	0.025338	2.657727	54.100000	2.613894	54.300000	
1.493911	1.125248	0.716521	0.408727	0.025548	2.615215	54.260000	2.618175	54.340000	
1.427757	1.048519	0.670588	0.377931	0.025008	2.689842	54.360000	2.695271	54.840000	
1.546089	1.146525	0.719723	0.426802	0.025111	2.467942	55.120000	2.445501	55.440000	
1.459807	1.049066	0.678786	0.370279	0.024671	2.276165	55.100000	2.291242	55.720000	
1.566280	1.147768	0.721769	0.425999	0.024069	2.199069	55.480000	2.171476	56.670000	
1.492313	1.065327	0.689988	0.375339	0.023551	2.218996	55.440000	2.216467	56.400000	
1.497651	1.051983	0.670539	0.381444	0.023622	2.194488	56.040000	2.195306	56.590000	
1.507161	1.043549	0.670774	0.372775	0.023647	2.308584	56.660000	2.285411	56.970000	
1.449843	0.974797	0.623383	0.351415	0.023344	2.387861	57.000000	2.375883	57.310000	
1.506771	1.015644	0.653696	0.361948	0.023286	2.125723	56.720000	2.094364	57.180000	
1.516243	1.024120	0.652109	0.372011	0.022546	2.252217	57.120000	2.187709	57.250000	
1.433303	0.928661	0.591857	0.336804	0.022360	2.120986	57.240000	2.080173	57.280000	
1.493514	0.980884	0.621965	0.358918	0.021995	2.035366	57.840000	1.992651	57.830000	
1.468552	0.938500	0.601801	0.336699	0.022039	2.192110	57.720000	2.143534	58.100000	
1.499293	0.959385	0.609134	0.350251	0.021780	2.042496	58.040000	2.004823	58.240000	
1.478716	0.927133	0.585962	0.341171	0.021605	2.043120	58.180000	2.016147	58.460000	
1.482273	0.926497	0.590399	0.336098	0.021156	1.887048	59.140000	1.881153	59.420000	
