Train Loss	Train Loss X	Train Loss U	Valid Loss	Valid Acc.	Test Loss	Test Acc.	
3.946556	3.946278	0.006214	2.229725	17.540000	2.226777	18.250000	
3.586379	3.585144	0.010541	1.965614	30.160000	1.961685	30.860000	
3.413737	3.411558	0.011290	1.781386	39.160000	1.779155	39.990000	
3.353110	3.350068	0.011285	1.696414	43.380000	1.691960	44.490000	
3.316082	3.312141	0.011350	1.662574	44.620000	1.660311	45.550000	
3.296690	3.291848	0.011405	1.620371	46.420000	1.618284	47.210000	
3.261626	3.255607	0.012009	1.592478	48.580000	1.593063	48.280000	
3.240925	3.233612	0.012634	1.568841	48.860000	1.576263	48.520000	
3.234101	3.225494	0.013125	1.552591	49.800000	1.562703	48.990000	
3.210862	3.200934	0.013545	1.559225	49.600000	1.569942	48.700000	
3.206165	3.194739	0.014100	1.559969	49.160000	1.566103	49.180000	
3.191140	3.178351	0.014420	1.544911	49.280000	1.555549	49.270000	
3.194641	3.180758	0.014397	1.554525	49.940000	1.558542	49.440000	
3.193463	3.178352	0.014509	1.535956	50.240000	1.537183	49.890000	
3.179791	3.163554	0.014518	1.543692	49.620000	1.540924	49.910000	
3.190851	3.172803	0.015091	1.538625	50.300000	1.534262	50.500000	
3.163576	3.145238	0.014404	1.522137	50.800000	1.520955	50.870000	
3.187205	3.166661	0.015212	1.518202	50.400000	1.519301	50.600000	
3.170357	3.149677	0.014489	1.533548	50.820000	1.530387	50.260000	
3.178559	3.155913	0.015049	1.533811	50.760000	1.527927	50.330000	
