Train Loss	Train Loss X	Train Loss U	Valid Loss	Valid Acc.	Test Loss	Test Acc.	
3.802910	3.792692	0.004571	2.405569	10.000000	2.405928	10.000000	
3.690367	3.647728	0.006736	2.290283	12.560000	2.291865	12.810000	
3.601589	3.515018	0.008300	2.033874	22.700000	2.036093	23.350000	
3.545091	3.406874	0.009511	1.812128	32.700000	1.806503	33.050000	
3.490218	3.299930	0.010176	1.678314	39.740000	1.674739	40.340000	
3.506325	3.268692	0.010414	1.626117	43.100000	1.625568	43.650000	
3.520787	3.233855	0.010631	1.576221	45.920000	1.579836	46.010000	
3.534838	3.203254	0.010652	1.532910	48.200000	1.537364	48.360000	
3.564080	3.185588	0.010727	1.532922	48.860000	1.536235	49.180000	
3.617185	3.183770	0.010994	1.521617	49.020000	1.527703	49.820000	
3.638455	3.169360	0.010763	1.511831	49.680000	1.517375	50.030000	
3.681982	3.172646	0.010671	1.506274	50.840000	1.511256	50.640000	
3.736913	3.173342	0.010863	1.468335	51.760000	1.474036	52.080000	
3.802340	3.179018	0.011124	1.482022	52.460000	1.486924	52.590000	
3.835986	3.166461	0.011130	1.468716	52.700000	1.481010	53.130000	
3.863775	3.153290	0.011047	1.470136	53.820000	1.482897	53.900000	
3.927935	3.155913	0.011274	1.485229	54.100000	1.498973	54.160000	
3.980638	3.153114	0.011397	1.485599	54.860000	1.496611	54.800000	
4.005518	3.141820	0.011251	1.458510	55.760000	1.464982	56.180000	
4.078607	3.146474	0.011515	1.420298	57.000000	1.426447	56.910000	
