Train Loss	Train Loss X	Train Loss X_nll	Train Loss X_ce	Train Loss U	Valid Loss	Valid Acc.	Test Loss	Test Acc.	
2.959722	2.946478	1.295234	1.651244	0.006162	2.304450	18.580000	2.293838	19.550000	
2.310454	2.264753	1.204387	1.060365	0.008253	1.761988	38.340000	1.752413	38.300000	
2.065627	1.983060	1.191161	0.791900	0.008935	0.944086	67.520000	0.939881	66.860000	
1.924899	1.800204	1.183234	0.616970	0.009594	0.726989	75.600000	0.722057	75.400000	
1.793899	1.644503	1.175779	0.468724	0.009012	0.651190	78.500000	0.649617	78.720000	
1.779738	1.595835	1.174768	0.421067	0.009022	0.616274	80.400000	0.610017	80.480000	
1.772382	1.563431	1.171210	0.392221	0.008680	0.594764	81.520000	0.580703	81.920000	
1.787541	1.545294	1.171251	0.374043	0.008719	0.571582	82.020000	0.562108	82.520000	
1.817281	1.547247	1.171317	0.375930	0.008589	0.544515	82.980000	0.539952	83.400000	
1.802264	1.513591	1.170907	0.342684	0.008215	0.530619	83.540000	0.526243	83.920000	
1.814212	1.506860	1.170601	0.336260	0.007913	0.510223	83.980000	0.507906	84.860000	
1.846992	1.509966	1.170301	0.339664	0.007917	0.496986	84.800000	0.496933	85.350000	
1.863228	1.508511	1.170645	0.337867	0.007671	0.490677	85.000000	0.493429	85.380000	
1.907525	1.518627	1.171920	0.346708	0.007787	0.474212	85.760000	0.472446	86.080000	
1.904664	1.496871	1.170116	0.326755	0.007599	0.465486	85.920000	0.465203	86.550000	
1.941103	1.510108	1.171820	0.338288	0.007522	0.453587	86.280000	0.455876	86.540000	
1.942259	1.494631	1.169771	0.324860	0.007339	0.438284	86.800000	0.445012	87.010000	
1.906895	1.471449	1.167143	0.304305	0.006729	0.444654	86.940000	0.453906	87.120000	
1.981524	1.502369	1.169369	0.333000	0.007001	0.432533	87.260000	0.434418	87.560000	
2.014177	1.499730	1.170855	0.328875	0.007128	0.422881	87.460000	0.430541	87.540000	
